,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
313,Sekou Mara,fr FRA,FWMF,Southampton,20-271,2002,21,4,526,5.8,1,2,3,1,0,0,1,0,1.0,1.0,0.8,1.8,7,7,26,0.17,0.34,0.51,0.17,0.51,0.18,0.13,0.31,0.18,0.31,Matches,3544641e
314,Solly March,eng ENG,FWDF,Brighton,28-281,1994,30,30,2600,28.9,7,7,14,7,0,0,2,0,7.7,7.7,8.0,15.8,103,130,331,0.24,0.24,0.48,0.24,0.48,0.27,0.28,0.55,0.27,0.55,Matches,bb5fbd2b
315,Emiliano Marcondes,dk DEN,MF,Bournemouth,28-049,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4d960fc3
316,Marquinhos,br BRA,MF,Arsenal,20-020,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,59878425
317,Anthony Martial,fr FRA,FW,Manchester Utd,27-143,1995,13,7,609,6.8,4,2,6,3,1,1,0,0,4.2,3.4,1.1,4.5,9,20,41,0.59,0.30,0.89,0.44,0.74,0.62,0.17,0.78,0.50,0.67,Matches,8b788c01
318,Martinelli,br BRA,FW,Arsenal,21-313,2001,33,32,2659,29.5,15,5,20,15,0,0,3,0,8.9,8.9,8.7,17.6,119,93,336,0.51,0.17,0.68,0.51,0.68,0.30,0.29,0.59,0.30,0.59,Matches,48a5a5d6
319,Emiliano Martínez,ar ARG,GK,Aston Villa,30-237,1992,31,31,2689,29.9,0,0,0,0,0,0,6,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,7956236f
320,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-099,1998,27,24,2114,23.5,1,0,1,1,0,0,6,0,0.5,0.5,0.3,0.8,12,83,2,0.04,0.00,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches,bac46a10
321,Pape Matar Sarr,sn SEN,MF,Tottenham,20-225,2002,9,2,169,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,11,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Matches,feb5d972
322,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-303,1997,27,6,735,8.2,2,0,2,2,0,0,3,0,3.3,3.3,0.6,3.9,7,6,39,0.24,0.00,0.24,0.24,0.24,0.40,0.08,0.48,0.40,0.48,Matches,50e6dc35
323,Joël Matip,cm CMR,DF,Liverpool,31-262,1991,13,11,1002,11.1,1,0,1,1,0,0,3,0,0.7,0.7,0.3,0.9,27,55,1,0.09,0.00,0.09,0.09,0.09,0.06,0.02,0.08,0.06,0.08,Matches,b217ef29
324,Neal Maupay,fr FRA,FW,Everton,26-256,1996,23,11,1042,11.6,1,0,1,1,0,0,3,0,4.3,4.3,0.6,4.9,7,9,57,0.09,0.00,0.09,0.09,0.09,0.37,0.05,0.42,0.37,0.42,Matches,4bcf39f6
325,Kevin Mbabu,ch SUI,DFFW,Fulham,28-008,1995,6,1,144,1.6,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,4,8,11,0.00,0.62,0.62,0.00,0.62,0.00,0.25,0.25,0.00,0.25,Matches,493924a7
326,Bryan Mbeumo,cm CMR,FW,Brentford,23-263,1999,33,31,2458,27.3,6,6,12,5,1,1,4,0,7.7,6.9,6.1,13.0,56,76,200,0.22,0.22,0.44,0.18,0.40,0.28,0.22,0.51,0.25,0.48,Matches,6afaebf2
327,James McArthur,sct SCO,MF,Crystal Palace,35-202,1987,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cee31595
328,John McGinn,sct SCO,MFFW,Aston Villa,28-191,1994,29,25,2243,24.9,1,3,4,1,0,0,5,0,2.1,2.1,2.6,4.7,26,110,62,0.04,0.12,0.16,0.04,0.16,0.09,0.10,0.19,0.09,0.19,Matches,90f91999
329,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-166,1996,20,19,1571,17.5,0,0,0,0,0,0,4,0,0.1,0.1,1.0,1.1,5,35,2,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,4e5a4cbc
330,Weston McKennie,us USA,MF,Leeds United,24-242,1998,14,11,1045,11.6,0,0,0,0,0,0,6,0,0.5,0.5,0.4,0.9,9,64,18,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.08,0.04,0.08,Matches,01c3aff5
331,Dwight McNeil,eng ENG,FWMF,Everton,23-156,1999,30,22,1958,21.8,4,2,6,4,0,0,5,0,1.6,1.6,4.2,5.8,61,55,107,0.18,0.09,0.28,0.18,0.28,0.07,0.19,0.27,0.07,0.27,Matches,fc15fb84
332,Scott McTominay,sct SCO,MF,Manchester Utd,26-140,1996,21,10,1126,12.5,1,0,1,1,0,0,7,0,1.3,1.3,0.5,1.8,19,30,19,0.08,0.00,0.08,0.08,0.08,0.10,0.04,0.14,0.10,0.14,Matches,d93c2511
333,Ben Mee,eng ENG,DF,Brentford,33-218,1989,32,32,2819,31.3,3,0,3,3,0,0,2,0,2.3,2.3,0.3,2.6,7,71,13,0.10,0.00,0.10,0.10,0.10,0.07,0.01,0.08,0.07,0.08,Matches,8df7a2fb
334,Edouard Mendy,sn SEN,GK,Chelsea,31-057,1992,9,8,765,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,33887998
335,Nampalys Mendy,sn SEN,MF,Leicester City,30-308,1992,17,7,735,8.2,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.2,2,28,4,0.12,0.00,0.12,0.12,0.12,0.02,0.00,0.02,0.02,0.02,Matches,1598599e
336,Chris Mepham,wls WAL,DF,Bournemouth,25-173,1997,24,22,2019,22.4,0,0,0,0,0,0,7,0,0.7,0.7,0.2,0.9,2,38,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,fed96827
337,Illan Meslier,fr FRA,GK,Leeds United,23-056,2000,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6b625ac2
338,Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-016,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,10ec4169
339,Luka Milivojević,rs SRB,MF,Crystal Palace,32-020,1991,17,5,511,5.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,2,20,2,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches,2ce2508a
340,James Milner,eng ENG,MFDF,Liverpool,37-113,1986,25,6,766,8.5,0,1,1,0,0,0,1,0,0.4,0.4,0.8,1.2,17,58,68,0.00,0.12,0.12,0.00,0.12,0.04,0.10,0.14,0.04,0.14,Matches,2f90f6b8
341,Yerry Mina,co COL,DF,Everton,28-216,1994,3,3,234,2.6,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,1,7,1,0.38,0.00,0.38,0.38,0.38,0.09,0.00,0.09,0.09,0.09,Matches,6d5701f2
342,Tyrone Mings,eng ENG,DF,Aston Villa,30-045,1993,30,30,2700,30.0,1,2,3,1,0,0,4,0,0.6,0.6,1.4,2.0,13,94,6,0.03,0.07,0.10,0.03,0.10,0.02,0.05,0.07,0.02,0.07,Matches,8397a50c
343,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-238,1999,31,29,2441,27.1,0,2,2,0,0,0,5,1,0.6,0.6,1.1,1.7,20,85,71,0.00,0.07,0.07,0.00,0.07,0.02,0.04,0.06,0.02,0.06,Matches,5cbd1eb0
344,Kaoru Mitoma,jp JPN,FW,Brighton,25-342,1997,25,18,1719,19.1,7,4,11,7,0,0,0,0,4.7,4.7,4.9,9.6,107,74,193,0.37,0.21,0.58,0.37,0.58,0.25,0.26,0.50,0.25,0.50,Matches,74618572
345,Aleksandar Mitrović,rs SRB,FW,Fulham,28-223,1994,21,21,1813,20.1,11,1,12,8,3,6,6,0,12.3,7.6,2.1,9.8,19,41,91,0.55,0.05,0.60,0.40,0.45,0.61,0.11,0.72,0.38,0.49,Matches,3925dbd6
346,Kieffer Moore,wls WAL,FW,Bournemouth,30-262,1992,22,12,1165,12.9,4,0,4,4,0,0,1,0,3.7,3.7,0.3,4.0,10,22,49,0.31,0.00,0.31,0.31,0.31,0.29,0.02,0.31,0.29,0.31,Matches,01ce9e70
347,Andrew Moran,ie IRL,FW,Brighton,19-194,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c4720845
348,Álex Moreno,es ESP,DF,Aston Villa,29-323,1993,15,11,1069,11.9,0,3,3,0,0,0,3,0,0.5,0.5,2.4,3.0,51,22,95,0.00,0.25,0.25,0.00,0.25,0.04,0.21,0.25,0.04,0.25,Matches,16e9d0ea
349,Mason Mount,eng ENG,MFFW,Chelsea,24-107,1999,24,20,1648,18.3,3,2,5,3,0,0,4,0,2.0,2.0,3.0,5.0,48,98,114,0.16,0.11,0.27,0.16,0.27,0.11,0.16,0.27,0.11,0.27,Matches,9674002f
350,Lucas Moura,br BRA,MFDF,Tottenham,30-257,1992,12,0,126,1.4,0,0,0,0,0,0,0,1,0.1,0.1,0.3,0.3,3,9,11,0.00,0.00,0.00,0.00,0.00,0.06,0.18,0.24,0.06,0.24,Matches,2b622f01
351,João Moutinho,pt POR,MF,Wolves,36-231,1986,30,20,1779,19.8,0,2,2,0,0,0,3,0,1.3,1.3,2.6,3.9,23,132,32,0.00,0.10,0.10,0.00,0.10,0.07,0.13,0.20,0.07,0.20,Matches,f5a00fa4
352,Divin Mubama,eng ENG,FW,West Ham,18-184,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,92868cb5
353,Mykhailo Mudryk,ua UKR,FWMF,Chelsea,22-112,2001,11,5,490,5.4,0,2,2,0,0,0,0,0,1.2,1.2,0.4,1.5,18,14,30,0.00,0.37,0.37,0.00,0.37,0.22,0.06,0.28,0.22,0.28,Matches,049a888d
354,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-062,1995,31,12,1060,11.8,3,2,5,3,0,0,0,0,1.9,1.9,2.6,4.5,56,55,122,0.25,0.17,0.42,0.25,0.42,0.16,0.22,0.38,0.16,0.38,Matches,de112b84
355,Enock Mwepu,zm ZAM,FWMF,Brighton,25-116,1998,6,2,213,2.4,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,5,6,17,0.00,0.42,0.42,0.00,0.42,0.09,0.20,0.29,0.09,0.29,Matches,1d5cab82
356,Vitaliy Mykolenko,ua UKR,DFMF,Everton,23-333,1999,31,27,2385,26.5,0,0,0,0,0,0,4,0,0.5,0.5,1.2,1.7,30,95,69,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches,30d4a2e5
357,Keylor Navas,cr CRC,GK,Nott'ham Forest,36-133,1986,13,13,1170,13.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ecada4fc
358,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-132,1996,23,16,1440,16.0,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.2,9,46,6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Matches,6b47c5db
359,Reiss Nelson,eng ENG,FW,Arsenal,23-138,1999,7,0,129,1.4,3,2,5,3,0,0,0,0,0.8,0.8,0.6,1.4,14,4,27,2.09,1.40,3.49,2.09,3.49,0.58,0.42,1.00,0.58,1.00,Matches,c5bdb6e3
360,Neto,br BRA,GK,Bournemouth,33-282,1989,22,22,1935,21.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a9dc785c
361,Pedro Neto,pt POR,FWMF,Wolves,23-049,2000,15,10,755,8.4,0,0,0,0,0,0,1,0,1.0,1.0,1.4,2.4,32,20,98,0.00,0.00,0.00,0.00,0.00,0.12,0.16,0.29,0.12,0.29,Matches,7ba2eaa9
362,Rúben Neves,pt POR,MF,Wolves,26-045,1997,30,29,2617,29.1,6,0,6,3,3,3,11,0,5.1,2.7,1.2,3.9,26,198,17,0.21,0.00,0.21,0.10,0.10,0.18,0.04,0.22,0.09,0.13,Matches,44bfb6c5
363,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-050,1996,9,9,713,7.9,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,7,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,00242715
364,Rasmus Nissen,dk DEN,DF,Leeds United,25-290,1997,21,16,1510,16.8,2,1,3,2,0,0,4,0,0.7,0.7,1.0,1.7,14,61,67,0.12,0.06,0.18,0.12,0.18,0.04,0.06,0.10,0.04,0.10,Matches,39769cff
365,Eddie Nketiah,eng ENG,FW,Arsenal,23-332,1999,26,9,1032,11.5,4,1,5,4,0,0,2,0,7.4,7.4,1.2,8.7,32,15,75,0.35,0.09,0.44,0.35,0.44,0.65,0.11,0.76,0.65,0.76,Matches,a53649b7
366,Matheus Nunes,pt POR,MF,Wolves,24-243,1998,29,26,2132,23.7,1,1,2,1,0,0,1,1,2.1,2.1,2.2,4.3,48,73,112,0.04,0.04,0.08,0.04,0.08,0.09,0.09,0.18,0.09,0.18,Matches,e6af02e0
367,Darwin Núñez,uy URU,FW,Liverpool,23-307,1999,26,17,1531,17.0,9,3,12,9,0,0,1,1,11.4,11.4,5.3,16.7,59,28,167,0.53,0.18,0.71,0.53,0.71,0.67,0.31,0.98,0.67,0.98,Matches,4d77b365
368,Ethan Nwaneri,eng ENG,FW,Arsenal,16-037,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7f94982c
369,Christian Nørgaard,dk DEN,MF,Brentford,29-048,1994,22,21,1763,19.6,1,3,4,1,0,0,6,0,1.6,1.6,3.1,4.7,4,73,8,0.05,0.15,0.20,0.05,0.20,0.08,0.16,0.24,0.08,0.24,Matches,df0a4c90
370,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-195,1998,13,6,584,6.5,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,13,21,3,0.15,0.00,0.15,0.15,0.15,0.05,0.03,0.08,0.05,0.08,Matches,089667a5
371,Odeluga Offiah,eng ENG,DF,Brighton,20-183,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,65c3efa2
372,Angelo Ogbonna,it ITA,DF,West Ham,34-339,1988,11,9,805,8.9,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,0,4,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,74b2cd7e
373,Michael Olise,fr FRA,FWMF,Crystal Palace,21-136,2001,32,26,2300,25.6,2,8,10,2,0,0,2,0,2.5,2.5,7.0,9.5,84,111,191,0.08,0.31,0.39,0.08,0.39,0.10,0.27,0.37,0.10,0.37,Matches,c4486bac
374,Robin Olsen,se SWE,GK,Aston Villa,33-109,1990,4,2,281,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e7ee38c3
375,Amadou Onana,be BEL,MF,Everton,21-254,2001,28,26,2206,24.5,1,1,2,1,0,0,7,0,2.9,2.9,2.1,5.0,24,61,42,0.04,0.04,0.08,0.04,0.08,0.12,0.09,0.21,0.12,0.21,Matches,828657ff
376,Josh Onomah,eng ENG,MF,Fulham,26-000,1997,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6612cd8c
377,Paul Onuachu,ng NGA,FW,Southampton,28-334,1994,9,3,331,3.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1,5,19,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.14,0.11,0.14,Matches,c06d1086
378,Frank Onyeka,ng NGA,MF,Brentford,25-116,1998,16,5,611,6.8,0,1,1,0,0,0,0,0,0.8,0.8,0.5,1.4,3,20,14,0.00,0.15,0.15,0.00,0.15,0.12,0.08,0.20,0.12,0.20,Matches,2944f86f
379,Mislav Oršić,hr CRO,MF,Southampton,30-119,1992,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ee950928
380,Dango Ouattara,bf BFA,MFFW,Bournemouth,21-075,2002,13,11,873,9.7,1,3,4,1,0,0,1,0,2.9,2.9,1.9,4.8,28,16,61,0.10,0.31,0.41,0.10,0.41,0.30,0.19,0.49,0.30,0.49,Matches,2f9e4435
381,Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-255,1993,9,4,335,3.7,1,0,1,1,0,0,0,0,1.3,1.3,0.9,2.2,11,14,28,0.27,0.00,0.27,0.27,0.27,0.35,0.23,0.58,0.35,0.58,Matches,38c7feef
382,David Ozoh,,FW,Crystal Palace,17-331,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d00d45ab
383,João Palhinha,pt POR,MF,Fulham,27-292,1995,29,29,2582,28.7,3,0,3,3,0,0,12,0,2.4,2.4,0.3,2.7,5,89,17,0.10,0.00,0.10,0.10,0.10,0.08,0.01,0.09,0.08,0.09,Matches,a78ff07f
384,Cole Palmer,eng ENG,FWMF,Manchester City,20-356,2002,11,0,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,10,8,20,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15,Matches,dc7f8a28
385,Emerson Palmieri,it ITA,DF,West Ham,28-267,1994,16,12,984,10.9,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,32,35,42,0.09,0.00,0.09,0.09,0.09,0.06,0.06,0.12,0.06,0.12,Matches,e0bc6fdc
386,Lucas Paquetá,br BRA,MF,West Ham,25-243,1997,23,22,1744,19.4,4,2,6,3,1,1,4,0,3.9,3.1,1.5,4.6,13,114,52,0.21,0.10,0.31,0.15,0.26,0.20,0.08,0.28,0.16,0.24,Matches,9b6f7fd5
387,Thomas Partey,gh GHA,MF,Arsenal,29-318,1993,28,26,2256,25.1,3,0,3,3,0,0,4,0,2.2,2.2,1.3,3.6,25,205,24,0.12,0.00,0.12,0.12,0.12,0.09,0.05,0.14,0.09,0.14,Matches,529f49ab
388,Nathan Patterson,sct SCO,DFMF,Everton,21-193,2001,15,11,1025,11.4,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,14,20,44,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,230f0471
389,Ben Pearson,eng ENG,MF,Bournemouth,28-113,1995,7,3,286,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,a6b461e7
390,Facundo Pellistri,uy URU,FWMF,Manchester Utd,21-128,2001,3,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ac7e7b1c
391,Andreas Pereira,br BRA,MF,Fulham,27-116,1996,32,32,2635,29.3,4,6,10,3,1,1,8,0,7.3,6.5,5.2,11.7,53,120,132,0.14,0.20,0.34,0.10,0.31,0.25,0.18,0.43,0.22,0.40,Matches,6639e500
392,Ricardo Pereira,pt POR,DFMF,Leicester City,29-203,1993,8,4,387,4.3,1,1,2,1,0,0,1,0,0.1,0.1,0.5,0.6,5,25,14,0.23,0.23,0.47,0.23,0.47,0.03,0.11,0.14,0.03,0.14,Matches,75a72a99
393,Ayoze Pérez,es ESP,MFFW,Leicester City,29-272,1993,8,3,382,4.2,0,1,1,0,0,0,0,0,1.1,1.1,1.5,2.6,17,20,43,0.00,0.24,0.24,0.00,0.24,0.27,0.35,0.62,0.27,0.62,Matches,819aa8e7
394,Ivan Perišić,hr CRO,DFMF,Tottenham,34-084,1989,30,21,1936,21.5,1,7,8,1,0,0,6,0,2.5,2.5,5.2,7.6,79,56,164,0.05,0.33,0.37,0.05,0.37,0.12,0.24,0.36,0.12,0.36,Matches,6fe90922
395,Romain Perraud,fr FRA,DF,Southampton,25-217,1997,28,21,1800,20.0,2,2,4,2,0,0,4,0,1.3,1.3,1.9,3.2,32,60,121,0.10,0.10,0.20,0.10,0.20,0.06,0.10,0.16,0.06,0.16,Matches,6dfd8f05
396,Máximo Perrone,ar ARG,MF,Manchester City,20-110,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,53552942
397,Kalvin Phillips,eng ENG,MF,Manchester City,27-146,1995,7,0,109,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,0,7,0,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,Matches,4f565d77
398,Nathaniel Phillips,eng ENG,DF,Liverpool,26-037,1997,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,515ebe8d
399,Jordan Pickford,eng ENG,GK,Everton,29-051,1994,31,31,2790,31.0,0,1,1,0,0,0,5,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches,4806ec67
400,Ethan Pinnock,jm JAM,DF,Brentford,29-333,1993,25,25,2250,25.0,2,0,2,2,0,0,0,0,2.6,2.6,1.0,3.5,1,40,14,0.08,0.00,0.08,0.08,0.08,0.10,0.04,0.14,0.10,0.14,Matches,e541326e
401,Daniel Podence,pt POR,FWMF,Wolves,27-188,1995,29,19,1626,18.1,6,0,6,6,0,0,5,0,3.5,3.5,2.4,5.9,40,88,138,0.33,0.00,0.33,0.33,0.33,0.19,0.13,0.33,0.19,0.33,Matches,7fcc71d8
402,Nick Pope,eng ENG,GK,Newcastle Utd,31-008,1992,31,31,2721,30.2,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4b40d9ca
403,Pedro Porro,es ESP,DFMF,Tottenham,23-226,1999,9,8,691,7.7,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,23,25,61,0.13,0.13,0.26,0.13,0.26,0.15,0.18,0.34,0.15,0.34,Matches,27d0a506
404,Dennis Praet,be BEL,MFFW,Leicester City,28-348,1994,20,5,601,6.7,1,0,1,1,0,0,1,0,1.0,1.0,0.5,1.5,14,16,39,0.15,0.00,0.15,0.15,0.15,0.15,0.07,0.22,0.15,0.22,Matches,86695068
405,Isaac Price,nir NIR,MF,Everton,19-213,2003,1,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26,Matches,b9403c99
406,Christian Pulisic,us USA,FWDF,Chelsea,24-221,1998,21,8,785,8.7,1,1,2,1,0,0,1,0,1.4,1.4,0.7,2.1,34,22,72,0.11,0.11,0.23,0.11,0.23,0.16,0.08,0.24,0.16,0.24,Matches,1bf33a9a
407,Aaron Ramsdale,eng ENG,GK,Arsenal,24-348,1998,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,466fb2c5
408,Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-334,2001,30,26,2186,24.3,4,5,9,4,0,0,4,0,3.2,3.2,3.5,6.7,70,90,90,0.16,0.21,0.37,0.16,0.37,0.13,0.14,0.27,0.13,0.27,Matches,1544f145
409,Marcus Rashford,eng ENG,FW,Manchester Utd,25-178,1997,29,27,2386,26.5,15,4,19,15,0,0,2,0,11.8,11.8,2.8,14.6,66,62,194,0.57,0.15,0.72,0.57,0.72,0.45,0.11,0.55,0.45,0.55,Matches,a1d5bd30
410,David Raya,es ESP,GK,Brentford,27-224,1995,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,0,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,98ea5115
411,Tim Ream,us USA,DF,Fulham,35-204,1987,32,32,2877,32.0,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,27,141,2,0.03,0.00,0.03,0.03,0.03,0.01,0.00,0.01,0.01,0.01,Matches,28b40c9c
412,Nathan Redmond,eng ENG,DF,Southampton,29-052,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ab651565
413,Harrison Reed,eng ENG,MF,Fulham,28-090,1995,31,31,2490,27.7,3,2,5,3,0,0,5,0,1.6,1.6,2.7,4.2,26,91,85,0.11,0.07,0.18,0.11,0.18,0.06,0.10,0.15,0.06,0.15,Matches,803ae100
414,Bobby Reid,jm JAM,FWDF,Fulham,30-084,1993,31,28,2338,26.0,4,1,5,4,0,0,8,0,3.8,3.8,1.7,5.4,46,59,180,0.15,0.04,0.19,0.15,0.19,0.15,0.06,0.21,0.15,0.21,Matches,0f7533cd
415,Declan Rice,eng ENG,MF,West Ham,24-103,1999,32,32,2880,32.0,3,1,4,3,0,1,5,0,2.1,1.3,3.2,4.5,80,204,32,0.09,0.03,0.12,0.09,0.12,0.07,0.10,0.17,0.04,0.14,Matches,1c7012b8
416,Chris Richards,us USA,DF,Crystal Palace,23-030,2000,9,4,447,5.0,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,4,14,3,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.20,0.14,0.20,Matches,0a3d6d2b
