,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-023,2003,27,17,1497,16.6,1,2,3,1,0,0,1,0,1.8,1.8,3.2,5.0,47,116,122,0.06,0.12,0.18,0.06,0.18,0.11,0.19,0.30,0.11,0.30,Matches,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-290,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-266,1994,28,24,1937,21.5,0,1,1,0,0,0,3,0,2.7,2.7,2.0,4.7,46,46,91,0.00,0.05,0.05,0.00,0.05,0.12,0.09,0.22,0.12,0.22,Matches,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-103,1999,22,16,1391,15.5,2,1,3,2,0,0,2,1,1.6,1.6,0.6,2.3,42,70,95,0.13,0.06,0.19,0.13,0.19,0.10,0.04,0.15,0.10,0.15,Matches,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-072,1992,21,19,1581,17.6,1,7,8,1,0,0,3,0,3.5,3.5,3.1,6.7,17,124,47,0.06,0.40,0.46,0.06,0.46,0.20,0.18,0.38,0.20,0.38,Matches,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-096,1998,27,24,2001,22.2,0,3,3,0,0,0,3,0,0.8,0.8,3.6,4.4,71,123,146,0.00,0.13,0.13,0.00,0.13,0.04,0.16,0.20,0.04,0.20,Matches,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-114,1988,10,9,811,9.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,31,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,f8fcd2a5
159,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-302,1998,33,25,2186,24.3,7,3,10,7,0,0,3,0,4.8,4.8,3.6,8.4,58,106,93,0.29,0.12,0.41,0.29,0.41,0.20,0.15,0.35,0.20,0.35,Matches,ae4fc6a4
160,Łukasz Fabiański,pl POL,GK,West Ham,38-009,1985,30,30,2571,28.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9328b835
161,Fabinho,br BRA,MF,Liverpool,29-186,1993,30,25,2175,24.2,0,1,1,0,0,0,9,0,0.7,0.7,1.8,2.5,11,123,31,0.00,0.04,0.04,0.00,0.04,0.03,0.07,0.10,0.03,0.10,Matches,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-024,1998,26,26,2336,26.0,0,1,1,0,0,0,6,1,0.9,0.9,0.5,1.4,10,67,2,0.00,0.04,0.04,0.00,0.04,0.03,0.02,0.05,0.03,0.05,Matches,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-346,1989,12,11,1070,11.9,0,1,1,0,0,0,3,0,0.7,0.7,0.5,1.2,2,16,2,0.00,0.08,0.08,0.00,0.08,0.06,0.04,0.10,0.06,0.10,Matches,51a3c4c8
164,João Félix,pt POR,FWMF,Chelsea,23-168,1999,12,10,803,8.9,2,0,2,2,0,0,0,1,3.6,3.6,0.5,4.1,32,41,72,0.22,0.00,0.22,0.22,0.22,0.40,0.06,0.46,0.40,0.46,Matches,8aafd64f
165,Evan Ferguson,ie IRL,FW,Brighton,18-190,2004,13,7,601,6.7,4,2,6,4,0,0,1,0,3.5,3.5,0.4,3.9,6,8,39,0.60,0.30,0.90,0.60,0.90,0.52,0.06,0.58,0.52,0.58,Matches,4596da74
166,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-231,1994,29,29,2608,29.0,5,6,11,4,1,1,6,0,5.9,5.1,12.3,17.4,65,202,175,0.17,0.21,0.38,0.14,0.35,0.20,0.42,0.63,0.18,0.60,Matches,507c7bdf
167,Enzo Fernández,ar ARG,MF,Chelsea,22-100,2001,12,12,1027,11.4,0,2,2,0,0,0,1,0,0.6,0.6,1.5,2.1,12,112,17,0.00,0.18,0.18,0.00,0.18,0.06,0.13,0.18,0.06,0.18,Matches,5ff4ab71
168,Roberto Firmino,br BRA,FWMF,Liverpool,31-207,1991,23,12,1138,12.6,9,4,13,9,0,0,0,0,4.9,4.9,2.3,7.2,13,76,90,0.71,0.32,1.03,0.71,1.03,0.38,0.18,0.57,0.38,0.57,Matches,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-248,1996,16,12,1158,12.9,1,1,2,1,0,0,5,0,0.1,0.1,0.8,0.9,18,48,32,0.08,0.08,0.16,0.08,0.16,0.01,0.06,0.07,0.01,0.07,Matches,24f59bb2
170,Phil Foden,eng ENG,FW,Manchester City,22-334,2000,25,17,1410,15.7,9,6,15,9,0,0,1,0,4.8,4.8,3.3,8.1,40,63,222,0.57,0.38,0.96,0.57,0.96,0.31,0.21,0.52,0.31,0.52,Matches,ed1e53f3
171,Datro Fofana,ci CIV,FW,Chelsea,20-126,2002,2,1,61,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,2,1,8,0.00,0.00,0.00,0.00,0.00,0.35,0.17,0.53,0.35,0.53,Matches,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-131,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,6,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-131,2000,11,9,873,9.7,1,0,1,1,0,0,3,0,0.7,0.7,0.0,0.7,27,36,12,0.10,0.00,0.10,0.10,0.10,0.07,0.00,0.07,0.07,0.07,Matches,132a82f1
174,Pablo Fornals,es ESP,FWMF,West Ham,27-064,1996,26,12,1128,12.5,2,1,3,2,0,0,0,0,1.7,1.7,1.5,3.3,24,58,76,0.16,0.08,0.24,0.16,0.24,0.14,0.12,0.26,0.14,0.26,Matches,82927de4
175,Adam Forshaw,eng ENG,MF,Leeds United,31-201,1991,7,2,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22,Matches,9f1938ab
176,Fraser Forster,eng ENG,GK,Tottenham,35-041,1988,8,7,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c3e39f12
177,Tyrese Francois,au AUS,FW,Fulham,22-285,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6722d4f0
178,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-062,1994,8,3,313,3.5,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,9,23,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20,Matches,d56543a0
179,Fred,br BRA,MF,Manchester Utd,30-053,1993,27,10,1025,11.4,2,1,3,2,0,0,5,0,1.9,1.9,2.0,3.8,8,57,36,0.18,0.09,0.26,0.18,0.26,0.16,0.17,0.34,0.16,0.34,Matches,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-199,1992,12,5,533,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,13,15,28,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,c067631c
181,Remo Freuler,ch SUI,MF,Nott'ham Forest,31-012,1992,28,24,2161,24.0,0,0,0,0,0,0,4,0,0.4,0.4,0.8,1.2,7,54,11,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,98d2c2c4
182,Cody Gakpo,nl NED,FW,Liverpool,23-355,1999,15,13,1057,11.7,6,1,7,6,0,0,0,0,4.2,4.2,1.3,5.5,23,32,81,0.51,0.09,0.60,0.51,0.60,0.35,0.11,0.47,0.35,0.47,Matches,1971591f
183,Conor Gallagher,eng ENG,MFFW,Chelsea,23-080,2000,29,13,1203,13.4,2,1,3,2,0,0,9,1,1.5,1.5,2.2,3.7,32,79,69,0.15,0.07,0.22,0.15,0.22,0.11,0.17,0.28,0.11,0.28,Matches,c2731c10
184,Idrissa Gana Gueye,sn SEN,MF,Everton,33-213,1989,27,26,2094,23.3,0,1,1,0,0,0,5,0,0.3,0.3,1.0,1.3,24,81,15,0.00,0.04,0.04,0.00,0.04,0.01,0.04,0.06,0.01,0.06,Matches,72c812f3
185,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-300,2004,15,4,453,5.0,2,2,4,2,0,0,2,0,1.6,1.6,1.0,2.6,25,5,68,0.40,0.40,0.79,0.40,0.79,0.32,0.20,0.52,0.32,0.52,Matches,7aa8adfe
186,James Garner,eng ENG,MF,Everton,22-045,2001,10,2,360,4.0,0,1,1,0,0,0,1,0,0.2,0.2,0.1,0.4,2,15,6,0.00,0.25,0.25,0.00,0.25,0.05,0.04,0.09,0.05,0.09,Matches,4e015693
187,David de Gea,es ESP,GK,Manchester Utd,32-171,1990,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7ba6d84e
188,Joe Gelhardt,eng ENG,FW,Leeds United,20-358,2002,15,1,212,2.4,0,2,2,0,0,0,1,0,0.8,0.8,0.5,1.3,2,6,21,0.00,0.85,0.85,0.00,0.85,0.36,0.20,0.55,0.36,0.55,Matches,01962d0d
189,Saman Ghoddos,ir IRN,MFDF,Brentford,29-233,1993,12,0,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,0,6,4,0.00,0.00,0.00,0.00,0.00,0.04,0.26,0.29,0.04,0.29,Matches,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-090,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,4,12,12,0.00,0.00,0.00,0.00,0.00,0.36,0.04,0.40,0.36,0.40,Matches,32f60ed8
191,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-090,2000,30,29,2523,28.0,4,6,10,3,1,1,3,0,4.8,4.0,7.3,11.3,62,120,140,0.14,0.21,0.36,0.11,0.32,0.17,0.26,0.43,0.14,0.40,Matches,32f60ed8
192,Billy Gilmour,sct SCO,MF,Brighton,21-320,2001,7,2,163,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,17,3,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.17,0.12,0.17,Matches,df10e27c
193,Degnand Gnonto,it ITA,FWMF,Leeds United,19-173,2003,19,12,1120,12.4,2,3,5,2,0,0,5,0,1.4,1.4,1.5,3.0,59,30,121,0.16,0.24,0.40,0.16,0.40,0.12,0.12,0.24,0.12,0.24,Matches,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-102,1998,12,9,712,7.9,0,1,1,0,0,0,2,0,1.2,1.2,0.2,1.4,7,14,6,0.00,0.13,0.13,0.00,0.13,0.16,0.02,0.18,0.16,0.18,Matches,9f7c837d
195,João Gomes,br BRA,MFFW,Wolves,22-074,2001,8,4,434,4.8,1,0,1,1,0,0,5,0,0.2,0.2,0.1,0.4,6,13,8,0.21,0.00,0.21,0.21,0.21,0.05,0.03,0.08,0.05,0.08,Matches,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-101,1999,12,7,675,7.5,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,2,21,15,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-339,1997,20,14,1376,15.3,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.3,15,103,4,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,7a11550b
198,Sergio Gómez,es ESP,DFMF,Manchester City,22-235,2000,8,0,174,1.9,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,3,10,15,0.00,0.52,0.52,0.00,0.52,0.13,0.21,0.34,0.13,0.34,Matches,01e5f06e
199,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-062,2001,9,2,335,3.7,0,0,0,0,0,0,1,0,0.6,0.6,0.8,1.4,11,12,26,0.00,0.00,0.00,0.00,0.00,0.17,0.22,0.39,0.17,0.39,Matches,2bd83368
200,Anthony Gordon,eng ENG,FW,Everton,22-062,2001,16,12,1095,12.2,3,0,3,3,0,0,6,0,3.3,3.3,0.6,3.9,28,19,67,0.25,0.00,0.25,0.25,0.25,0.27,0.05,0.32,0.27,0.32,Matches,2bd83368
201,Demarai Gray,eng ENG,FWMF,Everton,26-303,1996,30,26,2360,26.2,4,1,5,2,2,2,3,0,5.6,4.0,3.7,7.7,87,45,185,0.15,0.04,0.19,0.08,0.11,0.21,0.14,0.36,0.15,0.30,Matches,4468ec10
202,Jack Grealish,eng ENG,FW,Manchester City,27-229,1995,25,21,1862,20.7,5,6,11,5,0,0,3,0,4.2,4.2,6.1,10.3,131,88,270,0.24,0.29,0.53,0.24,0.53,0.20,0.29,0.50,0.20,0.50,Matches,b0b4fd3e
203,Sam Greenwood,eng ENG,MFFW,Leeds United,21-091,2002,15,2,339,3.8,1,2,3,1,0,0,1,0,0.6,0.6,1.1,1.7,7,13,7,0.27,0.53,0.80,0.27,0.80,0.17,0.30,0.46,0.17,0.46,Matches,f3354c07
204,Pascal Groß,de GER,MFDF,Brighton,31-316,1991,30,30,2631,29.2,6,6,12,6,0,0,3,0,4.4,4.4,9.0,13.3,50,209,174,0.21,0.21,0.41,0.21,0.41,0.15,0.31,0.46,0.15,0.46,Matches,8aec0537
205,Vicente Guaita,es ESP,GK,Crystal Palace,36-107,1987,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ab13a5aa
206,Gonçalo Guedes,pt POR,FWMF,Wolves,26-149,1996,13,8,707,7.9,1,1,2,1,0,0,1,0,1.2,1.2,0.5,1.7,20,16,54,0.13,0.13,0.25,0.13,0.25,0.15,0.06,0.22,0.15,0.22,Matches,e6bc67d7
207,Marc Guéhi,eng ENG,DF,Crystal Palace,22-288,2000,32,32,2879,32.0,1,0,1,1,0,0,8,0,1.1,1.1,0.3,1.4,14,92,2,0.03,0.00,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,Matches,d0706b27
208,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-162,1997,25,25,2096,23.3,3,4,7,3,0,0,4,0,1.6,1.6,3.3,4.9,28,161,29,0.13,0.17,0.30,0.13,0.30,0.07,0.14,0.21,0.07,0.21,Matches,82518f62
209,İlkay Gündoğan,de GER,MF,Manchester City,32-185,1990,27,23,2007,22.3,4,3,7,4,0,0,0,0,5.9,5.9,3.0,8.8,47,140,118,0.18,0.13,0.31,0.18,0.31,0.26,0.13,0.40,0.26,0.40,Matches,819b3158
