,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
327,James McArthur,sct SCO,MF,Crystal Palace,35-203,1987,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches,cee31595
328,Alex McCarthy,eng ENG,GK,Southampton,33-146,1989,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,36c2ca73
329,John McGinn,sct SCO,MFFW,Aston Villa,28-192,1994,24.9,58,33,25,27,6,31,59,52.5,28,36,4,32,19,77,17,0,Matches,90f91999
330,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-167,1996,17.5,12,7,7,3,2,6,10,60.0,4,20,14,6,12,24,85,1,Matches,4e5a4cbc
331,Weston McKennie,us USA,MF,Leeds United,24-243,1998,11.6,22,10,4,15,3,6,23,26.1,17,18,3,15,19,41,21,0,Matches,01c3aff5
332,Dwight McNeil,eng ENG,FWMF,Everton,23-157,1999,22.8,54,35,32,9,13,21,47,44.7,26,40,5,35,21,75,29,0,Matches,fc15fb84
333,Scott McTominay,sct SCO,MF,Manchester Utd,26-141,1996,12.5,32,19,16,10,6,13,21,61.9,8,14,5,9,13,45,44,0,Matches,d93c2511
334,Ben Mee,eng ENG,DF,Brentford,33-219,1989,31.3,36,21,23,11,2,16,30,53.3,14,44,33,11,43,79,108,1,Matches,8df7a2fb
335,Edouard Mendy,sn SEN,GK,Chelsea,31-058,1992,8.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Matches,33887998
336,Nampalys Mendy,sn SEN,MF,Leicester City,30-309,1992,8.2,13,9,7,6,0,8,15,53.3,7,20,4,16,13,26,2,0,Matches,1598599e
337,Chris Mepham,wls WAL,DF,Bournemouth,25-174,1997,23.4,42,20,34,8,0,16,27,59.3,11,39,27,12,30,72,145,0,Matches,fed96827
338,Illan Meslier,fr FRA,GK,Leeds United,23-057,2000,33.0,2,1,2,0,0,2,4,50.0,2,0,0,0,1,3,29,1,Matches,6b625ac2
339,Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-017,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,10ec4169
340,Luka Milivojević,rs SRB,MF,Crystal Palace,32-021,1991,5.7,13,7,7,4,2,7,10,70.0,3,13,4,9,12,25,10,0,Matches,2ce2508a
341,James Milner,eng ENG,MFDF,Liverpool,37-114,1986,8.5,22,12,10,9,3,13,30,43.3,17,13,2,11,12,34,14,0,Matches,2f90f6b8
342,Yerry Mina,co COL,DF,Everton,28-217,1994,2.6,9,4,4,5,0,7,7,100.0,0,2,1,1,2,11,9,0,Matches,6d5701f2
343,Tyrone Mings,eng ENG,DF,Aston Villa,30-046,1993,30.0,12,5,8,4,0,7,17,41.2,10,36,21,15,41,53,132,2,Matches,8397a50c
344,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-239,1999,27.1,60,43,36,21,3,24,45,53.3,21,38,9,29,37,97,68,0,Matches,5cbd1eb0
345,Kaoru Mitoma,jp JPN,FW,Brighton,25-343,1997,19.1,34,20,12,12,10,15,27,55.6,12,21,0,21,10,44,9,0,Matches,74618572
346,Aleksandar Mitrović,rs SRB,FW,Fulham,28-224,1994,20.1,14,7,8,4,2,5,10,50.0,5,20,5,15,3,17,19,1,Matches,3925dbd6
347,Kieffer Moore,wls WAL,FW,Bournemouth,30-263,1992,13.0,13,11,2,8,3,5,16,31.3,11,10,5,5,1,14,22,0,Matches,01ce9e70
348,Andrew Moran,ie IRL,FW,Brighton,19-195,2003,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,c4720845
349,Álex Moreno,es ESP,DF,Aston Villa,29-324,1993,11.9,17,11,12,3,2,11,29,37.9,18,15,3,12,5,22,28,2,Matches,16e9d0ea
350,Mason Mount,eng ENG,MFFW,Chelsea,24-108,1999,18.3,33,19,6,16,11,14,27,51.9,13,24,6,18,8,41,9,0,Matches,9674002f
351,Lucas Moura,br BRA,MFDF,Tottenham,30-258,1992,1.4,7,5,1,2,4,1,2,50.0,1,0,0,0,2,9,1,0,Matches,2b622f01
352,João Moutinho,pt POR,MF,Wolves,36-232,1986,19.8,51,30,24,21,6,19,46,41.3,27,22,6,16,18,69,20,0,Matches,f5a00fa4
353,Divin Mubama,eng ENG,FW,West Ham,18-185,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,92868cb5
354,Mykhailo Mudryk,ua UKR,FWMF,Chelsea,22-113,2001,5.4,8,7,1,3,4,3,9,33.3,6,5,1,4,0,8,2,0,Matches,049a888d
355,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-063,1995,12.0,12,6,3,6,3,6,17,35.3,11,16,0,16,6,18,3,0,Matches,de112b84
356,Enock Mwepu,zm ZAM,FWMF,Brighton,25-117,1998,2.4,10,5,1,6,3,3,4,75.0,1,3,1,2,1,11,1,0,Matches,1d5cab82
357,Vitaliy Mykolenko,ua UKR,DF,Everton,23-334,1999,27.5,55,31,35,17,3,26,44,59.1,18,48,15,33,41,96,87,0,Matches,30d4a2e5
358,Keylor Navas,cr CRC,GK,Nott'ham Forest,36-134,1986,13.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,1,Matches,ecada4fc
359,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-133,1996,16.0,46,33,25,18,3,12,37,32.4,25,27,11,16,33,79,42,3,Matches,6b47c5db
360,Reiss Nelson,eng ENG,FW,Arsenal,23-139,1999,1.4,3,1,2,0,1,2,2,100.0,0,1,0,1,0,3,1,0,Matches,c5bdb6e3
361,Neto,br BRA,GK,Bournemouth,33-283,1989,22.5,2,0,2,0,0,2,2,100.0,0,0,0,0,0,2,8,3,Matches,a9dc785c
362,Pedro Neto,pt POR,FWMF,Wolves,23-050,2000,8.4,10,6,4,2,4,6,14,42.9,8,2,0,2,3,13,4,0,Matches,7ba2eaa9
363,Rúben Neves,pt POR,MF,Wolves,26-046,1997,29.1,70,38,29,27,14,27,65,41.5,38,50,21,29,46,116,75,1,Matches,44bfb6c5
364,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-051,1996,7.9,6,2,5,1,0,3,8,37.5,5,14,6,8,11,17,39,0,Matches,00242715
365,Rasmus Nissen,dk DEN,DF,Leeds United,25-291,1997,16.8,54,28,30,18,6,35,59,59.3,24,24,11,13,27,81,46,0,Matches,39769cff
366,Eddie Nketiah,eng ENG,FW,Arsenal,23-333,1999,11.5,12,9,5,2,5,2,7,28.6,5,7,1,6,1,13,7,0,Matches,a53649b7
367,Matheus Nunes,pt POR,MF,Wolves,24-244,1998,23.7,61,38,30,22,9,23,53,43.4,30,31,2,29,12,73,27,1,Matches,e6af02e0
368,Darwin Núñez,uy URU,FW,Liverpool,23-308,1999,17.0,10,4,2,3,5,4,15,26.7,11,9,0,9,3,13,11,0,Matches,4d77b365
369,Ethan Nwaneri,eng ENG,FW,Arsenal,16-038,2007,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,7f94982c
370,Christian Nørgaard,dk DEN,MF,Brentford,29-049,1994,19.6,52,30,21,29,2,18,48,37.5,30,32,9,23,34,86,41,2,Matches,df0a4c90
371,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-196,1998,6.5,16,9,4,11,1,6,12,50.0,6,13,2,11,5,21,9,0,Matches,089667a5
372,Odeluga Offiah,eng ENG,DF,Brighton,20-184,2002,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,65c3efa2
373,Angelo Ogbonna,it ITA,DF,West Ham,34-340,1988,8.9,11,4,7,4,0,5,6,83.3,1,6,3,3,12,23,46,1,Matches,74b2cd7e
374,Michael Olise,fr FRA,FWMF,Crystal Palace,21-137,2001,25.6,51,31,25,22,4,24,54,44.4,30,40,1,39,22,73,13,0,Matches,c4486bac
375,Robin Olsen,se SWE,GK,Aston Villa,33-110,1990,3.1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,Matches,e7ee38c3
376,Amadou Onana,be BEL,MF,Everton,21-255,2001,25.3,68,43,23,39,6,27,39,69.2,12,23,5,18,33,101,39,0,Matches,828657ff
377,Josh Onomah,eng ENG,MF,Fulham,26-001,1997,0.2,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches,6612cd8c
378,Paul Onuachu,ng NGA,FW,Southampton,28-335,1994,3.7,2,2,1,1,0,1,3,33.3,2,2,1,1,0,2,3,0,Matches,c06d1086
379,Frank Onyeka,ng NGA,MF,Brentford,25-117,1998,6.8,14,10,7,6,1,8,19,42.1,11,10,2,8,6,20,15,0,Matches,2944f86f
380,Mislav Oršić,hr CRO,MF,Southampton,30-120,1992,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches,ee950928
381,Dango Ouattara,bf BFA,MFFW,Bournemouth,21-076,2002,9.7,17,10,12,3,2,11,20,55.0,9,12,2,10,9,26,19,1,Matches,2f9e4435
382,Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-256,1993,3.7,5,4,1,2,2,1,5,20.0,4,5,2,3,1,6,4,0,Matches,38c7feef
383,David Ozoh,,FW,Crystal Palace,17-332,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,d00d45ab
384,João Palhinha,pt POR,MF,Fulham,27-293,1995,28.7,119,66,42,54,23,54,99,54.5,45,39,4,35,37,156,57,2,Matches,a78ff07f
385,Cole Palmer,eng ENG,FWMF,Manchester City,20-357,2002,1.7,4,1,0,2,2,2,2,100.0,0,0,0,0,1,5,2,0,Matches,dc7f8a28
386,Emerson Palmieri,it ITA,DF,West Ham,28-268,1994,10.9,18,9,6,10,2,9,18,50.0,9,13,3,10,10,28,26,0,Matches,e0bc6fdc
387,Lucas Paquetá,br BRA,MF,West Ham,25-244,1997,19.4,57,42,21,27,9,21,54,38.9,33,32,3,29,13,70,29,0,Matches,9b6f7fd5
388,Thomas Partey,gh GHA,MF,Arsenal,29-319,1993,25.1,66,39,20,31,15,25,52,48.1,27,24,5,19,26,92,38,1,Matches,529f49ab
389,Nathan Patterson,sct SCO,DFMF,Everton,21-194,2001,11.4,39,17,25,11,3,23,37,62.2,14,20,3,17,12,51,35,0,Matches,230f0471
390,Ben Pearson,eng ENG,MF,Bournemouth,28-114,1995,3.2,7,3,3,3,1,1,3,33.3,2,4,0,4,2,9,6,0,Matches,a6b461e7
391,Facundo Pellistri,uy URU,FWMF,Manchester Utd,21-129,2001,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches,ac7e7b1c
392,Andreas Pereira,br BRA,MF,Fulham,27-117,1996,29.3,18,9,3,6,9,8,33,24.2,25,21,3,18,5,23,8,0,Matches,6639e500
393,Ricardo Pereira,pt POR,DFMF,Leicester City,29-204,1993,4.3,8,5,6,2,0,5,14,35.7,9,5,1,4,4,12,16,0,Matches,75a72a99
394,Ayoze Pérez,es ESP,MFFW,Leicester City,29-273,1993,4.2,11,8,5,4,2,8,19,42.1,11,6,0,6,2,13,3,0,Matches,819aa8e7
395,Ivan Perišić,hr CRO,DFMF,Tottenham,34-085,1989,22.4,38,21,22,9,7,24,42,57.1,18,28,6,22,20,58,44,1,Matches,6fe90922
396,Romain Perraud,fr FRA,DF,Southampton,25-218,1997,20.4,54,33,23,23,8,28,52,53.8,24,24,6,18,20,74,42,0,Matches,6dfd8f05
397,Máximo Perrone,ar ARG,MF,Manchester City,20-111,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,53552942
398,Kalvin Phillips,eng ENG,MF,Manchester City,27-147,1995,1.2,5,4,2,3,0,2,5,40.0,3,3,1,2,2,7,5,0,Matches,4f565d77
399,Nathaniel Phillips,eng ENG,DF,Liverpool,26-038,1997,0.7,2,1,0,2,0,2,2,100.0,0,0,0,0,2,4,1,0,Matches,515ebe8d
400,Jordan Pickford,eng ENG,GK,Everton,29-052,1994,32.0,0,0,0,0,0,0,0,,0,0,0,0,3,3,15,3,Matches,4806ec67
401,Ethan Pinnock,jm JAM,DF,Brentford,29-334,1993,25.0,42,25,26,10,6,14,20,70.0,6,31,24,7,32,74,191,2,Matches,e541326e
402,Daniel Podence,pt POR,FWMF,Wolves,27-189,1995,18.1,27,17,13,9,5,6,28,21.4,22,19,0,19,6,33,6,0,Matches,7fcc71d8
403,Nick Pope,eng ENG,GK,Newcastle Utd,31-009,1992,31.2,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,21,2,Matches,4b40d9ca
404,Pedro Porro,es ESP,DF,Tottenham,23-227,1999,8.5,17,10,5,11,1,8,25,32.0,17,11,1,10,9,26,17,1,Matches,27d0a506
405,Dennis Praet,be BEL,MFFW,Leicester City,28-349,1994,6.7,11,8,5,5,1,6,11,54.5,5,11,2,9,5,16,6,0,Matches,86695068
406,Isaac Price,nir NIR,MF,Everton,19-214,2003,0.4,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,Matches,b9403c99
407,Christian Pulisic,us USA,FWDF,Chelsea,24-222,1998,8.7,11,6,3,6,2,3,5,60.0,2,7,1,6,4,15,4,0,Matches,1bf33a9a
408,Aaron Ramsdale,eng ENG,GK,Arsenal,24-349,1998,33.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,17,6,Matches,466fb2c5
409,Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-335,2001,24.3,63,37,23,30,10,30,61,49.2,31,46,8,38,21,84,29,0,Matches,1544f145
410,Marcus Rashford,eng ENG,FW,Manchester Utd,25-179,1997,27.5,19,9,7,8,4,9,21,42.9,12,27,4,23,7,26,13,0,Matches,a1d5bd30
411,David Raya,es ESP,GK,Brentford,27-225,1995,33.0,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,10,2,Matches,98ea5115
412,Tim Ream,us USA,DF,Fulham,35-205,1987,32.0,30,16,15,12,3,13,26,50.0,13,45,24,21,41,71,115,2,Matches,28b40c9c
413,Nathan Redmond,eng ENG,DF,Southampton,29-053,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,ab651565
414,Harrison Reed,eng ENG,MF,Fulham,28-091,1995,27.7,38,24,14,19,5,11,39,28.2,28,42,8,34,17,55,31,0,Matches,803ae100
415,Bobby Reid,jm JAM,FWDF,Fulham,30-085,1993,26.0,39,22,13,13,13,15,32,46.9,17,22,3,19,20,59,27,0,Matches,0f7533cd
416,Declan Rice,eng ENG,MF,West Ham,24-104,1999,32.0,73,35,39,30,4,29,47,61.7,18,40,14,26,56,129,54,0,Matches,1c7012b8
417,Chris Richards,us USA,DF,Crystal Palace,23-031,2000,5.0,9,6,8,1,0,5,7,71.4,2,10,1,9,8,17,31,0,Matches,0a3d6d2b
418,Richarlison,br BRA,MFFW,Tottenham,25-353,1997,9.3,20,15,12,5,3,12,24,50.0,12,13,1,12,5,25,10,0,Matches,fa031b34
419,Jaïro Riedewald,nl NED,DFFW,Crystal Palace,26-231,1996,0.5,2,1,2,0,0,0,1,0.0,1,1,0,1,0,2,4,0,Matches,7a1f2c08
420,Matt Ritchie,sct SCO,FWMF,Newcastle Utd,33-230,1989,0.4,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,Matches,71ef519e
421,Andrew Robertson,sct SCO,DF,Liverpool,29-048,1994,24.7,34,20,12,14,8,19,37,51.4,18,27,5,22,18,52,44,1,Matches,2e4f5f03
422,Antonee Robinson,us USA,DF,Fulham,25-263,1997,28.3,52,30,37,12,3,36,46,78.3,10,43,11,32,43,95,66,1,Matches,289601e6
423,Marc Roca,es ESP,MF,Leeds United,26-153,1996,24.0,62,40,24,33,5,19,62,30.6,43,32,10,22,23,85,23,2,Matches,da27e268
424,Marek Rodák,sk SVK,GK,Fulham,26-136,1996,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches,17acc2ed
425,Rodri,es ESP,MF,Manchester City,26-310,1996,28.2,60,37,25,25,10,23,47,48.9,24,38,14,24,29,89,34,1,Matches,6434f10d
426,Rodrigo,es ESP,FWMF,Leeds United,32-053,1991,17.9,20,8,1,14,5,6,14,42.9,8,14,2,12,6,26,19,1,Matches,1fb1c435
427,Mads Roerslev,dk DEN,DF,Brentford,23-308,1999,12.2,21,12,18,3,0,15,30,50.0,15,14,5,9,9,30,36,0,Matches,57c94db2
428,Cristian Romero,ar ARG,DF,Tottenham,25-001,1998,23.3,61,31,36,23,2,24,40,60.0,16,37,18,19,36,97,88,3,Matches,a3d94a58
429,Oriol Romeu,es ESP,MF,Southampton,31-216,1991,0.8,1,0,0,1,0,0,0,,0,1,0,1,1,2,1,0,Matches,4b511457
430,Cristiano Ronaldo,pt POR,FW,Manchester Utd,38-082,1985,5.8,2,2,1,0,1,1,2,50.0,1,0,0,0,1,3,9,0,Matches,dea698d9
431,Connor Ronan,ie IRL,MF,Wolves,25-053,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,1b804500
432,Salomón Rondón,ve VEN,FW,Everton,33-224,1989,1.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches,b318a643
433,Joe Rothwell,eng ENG,MF,Bournemouth,28-107,1995,9.0,16,11,5,10,1,6,17,35.3,11,12,3,9,9,25,6,0,Matches,10a10454
434,Georginio Rutter,fr FRA,FWMF,Leeds United,21-008,2002,2.7,9,8,5,3,1,5,7,71.4,2,4,0,4,3,12,3,0,Matches,c64c01fc
435,José Sá,pt POR,GK,Wolves,30-101,1993,33.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,10,4,Matches,903b6e8b
436,Marcel Sabitzer,at AUT,MF,Manchester Utd,29-042,1994,5.7,11,7,3,8,0,2,11,18.2,9,6,2,4,6,17,10,0,Matches,e280527c
437,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,26-047,1997,11.1,6,3,3,3,0,2,8,25.0,6,3,0,3,4,10,2,0,Matches,2b16cb1a
438,Bukayo Saka,eng ENG,FW,Arsenal,21-235,2001,30.9,48,27,19,12,17,15,31,48.4,16,37,0,37,14,62,19,0,Matches,bc7dc64d
439,Mohamed Salah,eg EGY,FW,Liverpool,30-317,1992,30.7,15,9,4,3,8,8,19,42.1,11,19,0,19,5,20,3,0,Matches,e342ad68
440,William Saliba,fr FRA,DF,Arsenal,22-035,2001,26.8,34,20,23,9,2,15,18,83.3,3,13,10,3,19,53,85,4,Matches,972aeb2a
441,Mohammed Salisu,gh GHA,DF,Southampton,24-011,1999,21.9,51,29,33,16,2,24,34,70.6,10,56,25,31,31,82,122,1,Matches,0b33f6ad
442,Albert Sambi Lokonga,be BEL,MF,Arsenal,23-188,1999,2.2,1,1,0,0,1,0,2,0.0,2,1,0,1,5,6,2,0,Matches,1b4f1169
443,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,23-188,1999,6.0,13,10,7,4,2,8,12,66.7,4,8,3,5,7,20,10,0,Matches,1b4f1169
444,Davinson Sánchez,co COL,DF,Tottenham,26-320,1996,7.5,19,8,13,5,1,11,14,78.6,3,14,8,6,11,30,28,0,Matches,da7b447d
445,Robert Sánchez,es ESP,GK,Brighton,25-161,1997,23.0,1,0,1,0,0,0,0,,0,0,0,0,3,4,9,2,Matches,6a713852
446,Jadon Sancho,eng ENG,FWMF,Manchester Utd,23-034,2000,13.9,11,7,6,3,2,6,18,33.3,12,15,2,13,6,17,6,0,Matches,dbf053da
447,Morgan Sanson,fr FRA,MF,Aston Villa,28-253,1994,0.1,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches,6e7f1353
448,Pablo Sarabia,es ESP,FWMF,Wolves,30-352,1992,7.7,11,6,4,4,3,5,14,35.7,9,5,0,5,1,12,3,0,Matches,9744ff80
449,Jeremy Sarmiento,ec ECU,MF,Brighton,20-316,2002,2.0,6,3,4,1,1,2,5,40.0,3,2,0,2,1,7,0,0,Matches,ac0d576d
450,Gianluca Scamacca,it ITA,FW,West Ham,24-117,1999,10.3,10,5,1,3,6,2,2,100.0,0,3,0,3,4,14,5,0,Matches,8790f988
451,Gustavo Scarpa,br BRA,MFFW,Nott'ham Forest,29-113,1994,2.0,5,2,3,1,1,2,5,40.0,3,4,0,4,0,5,3,0,Matches,2964fd20
452,Kevin Schade,de GER,FW,Brentford,21-152,2001,5.1,9,6,6,2,1,4,9,44.4,5,5,0,5,4,13,3,0,Matches,52afb588
453,Fabian Schär,ch SUI,DF,Newcastle Utd,31-129,1991,29.6,41,20,28,11,2,21,33,63.6,12,29,17,12,46,87,119,0,Matches,c8aa95da
454,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,30-126,1992,26.3,60,42,27,27,6,22,42,52.4,20,39,8,31,23,83,34,0,Matches,3312f911
455,Nélson Semedo,pt POR,DF,Wolves,29-163,1993,24.8,67,38,45,18,4,33,58,56.9,25,36,13,23,26,93,71,2,Matches,d04b94db
456,Antoine Semenyo,gh GHA,FWMF,Bournemouth,23-111,2000,2.7,1,0,0,0,1,1,6,16.7,5,10,1,9,2,3,4,0,Matches,efd2ec23
457,Marcos Senesi,ar ARG,DF,Bournemouth,25-353,1997,23.7,41,29,23,18,0,17,33,51.5,16,36,18,18,32,73,128,1,Matches,35141f4c
458,Ryan Sessegnon,eng ENG,DF,Tottenham,22-345,2000,9.0,16,11,9,7,0,6,12,50.0,6,8,1,7,6,22,17,1,Matches,6aa3e78b
459,Luke Shaw,eng ENG,DF,Manchester Utd,27-290,1995,22.9,42,24,25,15,2,25,33,75.8,8,42,12,30,29,71,44,2,Matches,9c94165b
460,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,31-060,1992,0.4,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches,3727dd3c
461,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,31-060,1992,6.0,2,1,0,1,1,1,9,11.1,8,7,2,5,5,7,10,1,Matches,3727dd3c
462,Bernardo Silva,pt POR,MFFW,Manchester City,28-261,1994,22.3,42,23,11,24,7,18,41,43.9,23,20,4,16,15,57,5,0,Matches,3eb22ec9
463,Thiago Silva,br BRA,DF,Chelsea,38-218,1984,21.1,35,23,19,16,0,18,24,75.0,6,30,22,8,30,65,93,2,Matches,86e7deaf
464,Ellis Simms,eng ENG,FW,Everton,22-113,2001,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,26d3b5be
465,Luis Sinisterra,co COL,FW,Leeds United,23-315,1999,9.6,21,14,8,9,4,11,18,61.1,7,11,1,10,8,29,2,0,Matches,8e16dd48
466,Oliver Skipp,eng ENG,MF,Tottenham,22-224,2000,12.0,22,13,12,9,1,10,23,43.5,13,12,4,8,12,34,15,0,Matches,6250083a
467,Adam Smith,eng ENG,DF,Bournemouth,31-364,1991,28.7,44,25,23,18,3,26,56,46.4,30,28,13,15,20,64,74,1,Matches,20b104bc
468,Emile Smith Rowe,eng ENG,MFFW,Arsenal,22-274,2000,1.6,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,Matches,17695062
469,Cédric Soares,pt POR,DF,Arsenal,31-240,1991,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches,839c14e1
470,Cédric Soares,pt POR,DF,Fulham,31-240,1991,1.2,5,3,1,3,1,2,2,100.0,0,1,0,1,0,5,3,0,Matches,839c14e1
471,Dominic Solanke,eng ENG,FWMF,Bournemouth,25-226,1997,26.8,9,5,6,1,2,4,18,22.2,14,23,6,17,3,12,37,0,Matches,e77dc3b2
472,Manor Solomon,il ISR,FW,Fulham,23-278,1999,5.4,19,11,11,6,2,9,11,81.8,2,6,0,6,4,23,3,0,Matches,886f9aac
473,Tomáš Souček,cz CZE,MF,West Ham,28-060,1995,27.6,71,36,37,27,7,26,54,48.1,28,40,16,24,46,117,60,1,Matches,6613c819
474,Boubakary Soumaré,fr FRA,MF,Leicester City,24-060,1999,13.3,49,32,25,22,2,21,36,58.3,15,13,3,10,24,73,21,1,Matches,ae59b359
475,Harry Souttar,au AUS,DF,Leicester City,24-188,1998,10.0,13,8,9,4,0,7,16,43.8,9,15,11,4,11,24,39,0,Matches,0a6cb1b1
476,Çağlar Söyüncü,tr TUR,DF,Leicester City,26-340,1996,3.9,10,7,7,3,0,5,7,71.4,2,6,5,1,3,13,16,0,Matches,21166ff4
477,Djed Spence,eng ENG,FWDF,Tottenham,22-262,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,9bc9a519
478,Jack Stacey,eng ENG,DF,Bournemouth,27-022,1996,3.3,5,4,3,1,1,2,5,40.0,3,3,1,2,5,10,15,0,Matches,558807c0
479,Junior Stanislas,eng ENG,MF,Bournemouth,33-153,1989,0.7,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,Matches,6992791d
480,Jay Stansfield,eng ENG,FW,Fulham,20-155,2002,1.0,0,0,0,0,0,0,2,0.0,2,4,1,3,1,1,1,0,Matches,b2626673
481,Jason Steele,eng ENG,GK,Brighton,32-253,1990,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,Matches,28300a16
482,Jack Stephens,eng ENG,DF,Southampton,29-091,1994,0.5,2,2,2,0,0,1,1,100.0,0,1,1,0,1,3,2,0,Matches,6adbc307
483,Jack Stephens,eng ENG,DF,Bournemouth,29-091,1994,13.0,15,11,10,4,1,6,10,60.0,4,23,16,7,16,31,53,0,Matches,6adbc307
484,Raheem Sterling,eng ENG,FWMF,Chelsea,28-141,1994,17.2,12,7,4,2,6,5,11,45.5,6,14,0,14,1,13,3,0,Matches,b400bde0
485,John Stones,eng ENG,DFMF,Manchester City,28-335,1994,17.2,20,11,10,6,4,6,8,75.0,2,13,7,6,6,26,30,0,Matches,5eecec3d
486,Pascal Struijk,nl NED,DF,Leeds United,23-260,1999,22.7,74,50,38,27,9,42,68,61.8,26,31,12,19,30,104,64,0,Matches,f4d296e4
487,Kamaldeen Sulemana,gh GHA,FWMF,Southampton,21-072,2002,8.1,10,6,2,4,4,2,11,18.2,9,14,0,14,2,12,4,0,Matches,a62f8bf1
488,Crysencio Summerville,nl NED,FW,Leeds United,21-180,2001,14.2,27,19,14,12,1,10,22,45.5,12,17,2,15,12,39,11,0,Matches,df04eb4b
489,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-274,1998,3.5,5,0,1,3,1,1,4,25.0,3,4,2,2,0,5,6,0,Matches,b017b770
490,Japhet Tanganga,eng ENG,DF,Tottenham,24-028,1999,1.6,3,2,3,0,0,1,5,20.0,4,1,0,1,2,5,8,0,Matches,e9971f2d
491,Matt Targett,eng ENG,DF,Newcastle Utd,27-222,1995,5.8,12,9,7,3,2,9,20,45.0,11,6,1,5,8,20,13,0,Matches,e514ab62
492,James Tarkowski,eng ENG,DF,Everton,30-160,1992,33.0,41,24,30,10,1,14,30,46.7,16,90,70,20,40,81,174,3,Matches,15ea812b
493,Marcus Tavernier,eng ENG,MFFW,Bournemouth,24-037,1999,19.4,33,22,19,11,3,11,32,34.4,21,25,4,21,9,42,23,0,Matches,5c0da4a4
494,Tetê,br BRA,FW,Leicester City,23-072,2000,7.3,14,8,5,7,2,6,20,30.0,14,8,0,8,2,16,3,0,Matches,7120a04d
495,Kenny Tete,nl NED,DF,Fulham,27-201,1995,23.5,69,38,36,21,12,31,40,77.5,9,38,15,23,41,110,68,1,Matches,77d7c96f
496,Luke Thomas,eng ENG,DF,Leicester City,21-322,2001,8.5,14,13,7,5,2,11,24,45.8,13,13,2,11,23,37,26,0,Matches,fc027d02
