,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,-9999,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec
852,Hugo Lloris,FRA,GK,Tottenham,36,1986,25,25,2205,24.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,8f62b6ee,0,0,,0.0,0.0,,,,0,,0.0,0.0,561,728,77.1,13442,8398,174,177,98.3,241,242,99.6,146,305,47.9,0.0,0.0,0,13,0,0,5,0.2,5,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,33.3,2,0,0,1,2,13,4,794,723,0,794,0,,0,,430,0,2,0,353
853,Renan Lodi,BRA,DF,Nott'ham Forest,25,1998,23,21,1819,20.2,0,0,0,0,0,0,5,0,0.8,0.8,0.6,1.4,23,27,61,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches,ed9f7cfe,11,0,0.0,0.54,0.0,0.0,,20.1,2,0.07,-0.8,-0.8,531,780,68.1,9263,3025,250,297,84.2,220,305,72.1,50,134,37.3,0.7,-0.6,8,24,13,7,21,1.04,16,3,0,1,0,1,0.05,0,0,0,1,0,0,41,31,30,8,3,28,56.0,22,24,18,26,67,65,0,1003,84,15,1003,16,45.7,11,31.4,492,2,16,10,484
854,Ruben Loftus-Cheek,ENG,MFDF,Chelsea,27,1996,20,17,1314,14.6,0,0,0,0,0,0,1,0,0.8,0.8,1.3,2.2,44,73,78,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.15,0.06,0.15,Matches,e97fd090,9,2,22.2,0.62,0.14,0.0,0.0,18.6,0,0.09,-0.8,-0.8,663,782,84.8,9815,2462,398,448,88.8,224,251,89.2,28,36,77.8,1.6,-1.3,12,64,13,1,28,1.92,23,0,3,1,0,2,0.14,2,0,0,0,0,0,23,13,8,12,3,10,52.6,9,13,11,11,34,21,0,925,35,39,925,24,47.1,20,39.2,553,9,20,19,669
855,Sean Longstaff,ENG,MF,Newcastle Utd,25,1997,31,26,2355,26.2,1,4,5,1,0,0,2,0,3.4,3.4,3.2,6.5,21,111,103,0.04,0.15,0.19,0.04,0.19,0.13,0.12,0.25,0.13,0.25,Matches,a2b105e0,30,6,20.0,1.11,0.22,0.03,0.17,15.9,0,0.11,-2.4,-2.4,899,1114,80.7,14770,4111,449,515,87.2,344,397,86.6,76,124,61.3,2.5,0.7,22,77,20,5,59,2.19,43,1,2,6,0,6,0.22,4,0,0,1,1,0,42,21,16,20,6,20,38.5,32,35,27,16,58,23,0,1375,45,70,1375,8,29.6,18,66.7,708,8,35,28,902
856,Jamal Lowe,JAM,MFFW,Bournemouth,28,1994,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b2856bc0,0,0,,0.0,0.0,,,,0,,0.0,0.0,2,4,50.0,18,3,1,1,100.0,0,0,,0,1,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,0,0,4,0,,0,,2,0,0,0,3
857,Douglas Luiz,BRA,MF,Aston Villa,24,1998,32,28,2486,27.6,4,5,9,4,0,0,5,1,2.4,2.4,3.2,5.7,40,127,29,0.14,0.18,0.33,0.14,0.33,0.09,0.12,0.2,0.09,0.2,Matches,6f7d826d,28,10,35.7,1.01,0.36,0.14,0.4,24.8,4,0.09,1.6,1.6,1300,1569,82.9,22746,5516,544,607,89.6,570,654,87.2,131,227,57.7,2.4,1.8,38,101,17,3,83,3.0,54,21,4,1,2,9,0.33,6,1,0,0,0,2,64,37,27,28,9,29,50.9,28,33,26,39,103,20,1,1837,60,17,1836,23,57.5,12,30.0,976,4,32,27,1161
858,Saša Lukić,SRB,MF,Fulham,26,1996,7,2,234,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,9,5,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,c6e8cf1f,3,1,33.3,1.15,0.38,0.0,0.0,27.9,0,0.03,-0.1,-0.1,133,148,89.9,2233,451,59,65,90.8,64,69,92.8,9,11,81.8,0.1,0.0,0,16,0,0,4,1.54,3,0,0,0,1,1,0.38,0,0,0,0,0,1,4,3,1,3,0,0,,0,4,3,1,5,1,0,165,4,3,165,2,100.0,0,0.0,103,1,2,0,117
859,Lyanco,BRA,DF,Southampton,26,1997,15,7,743,8.3,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.3,5,21,2,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,b5bf1770,8,3,37.5,0.91,0.34,0.0,0.0,21.4,0,0.03,-0.3,-0.3,278,392,70.9,5212,1852,107,119,89.9,132,174,75.9,29,81,35.8,0.1,-0.1,1,25,2,1,8,0.91,5,1,1,0,0,0,0.0,0,0,0,0,0,0,16,10,10,6,0,8,61.5,5,15,3,13,29,38,2,493,62,7,493,7,77.8,2,22.2,266,1,10,4,241
860,Alexis Mac Allister,ARG,MF,Brighton,24,1998,27,26,2336,26.0,8,1,9,3,5,5,7,0,9.8,5.9,2.8,8.7,48,136,61,0.31,0.04,0.35,0.12,0.15,0.38,0.11,0.49,0.23,0.34,Matches,83d074ff,68,24,35.3,2.62,0.92,0.04,0.13,22.8,8,0.09,-1.8,-2.9,1276,1480,86.2,20385,5017,667,735,90.7,491,537,91.4,84,117,71.8,3.3,-1.8,31,124,24,1,80,3.08,56,6,7,4,2,7,0.27,6,0,1,0,0,0,57,33,17,33,7,29,47.5,32,20,18,22,79,7,1,1756,37,49,1751,32,61.5,14,26.9,1057,7,36,30,1317
861,James Maddison,ENG,MFFW,Leicester City,26,1996,25,24,2075,23.1,9,7,16,9,0,0,8,0,5.6,5.6,7.8,13.4,56,133,125,0.39,0.3,0.69,0.39,0.69,0.24,0.34,0.58,0.24,0.58,Matches,ee38d9c5,68,22,32.4,2.95,0.95,0.13,0.41,20.9,11,0.08,3.4,3.4,726,977,74.3,12377,3778,353,404,87.4,269,351,76.6,78,155,50.3,5.3,-0.8,59,101,26,3,112,4.86,62,27,7,9,2,10,0.43,8,1,1,0,0,0,40,20,19,15,6,15,37.5,25,12,12,12,52,5,1,1206,13,85,1206,28,37.3,28,37.3,807,23,40,22,914
