,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,-9999,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec
872,Emiliano Marcondes,DEN,MF,Bournemouth,28,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4d960fc3,0,0,,0.0,0.0,,,,0,,0.0,0.0,1,1,100.0,56,37,0,0,,0,0,,1,1,100.0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,3,1,0,3,0,0.0,0,0.0,2,0,0,0,2
873,Marquinhos,BRA,MF,Arsenal,20,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,59878425,0,0,,0.0,0.0,,,,0,,0.0,0.0,2,3,66.7,34,5,1,2,50.0,1,1,100.0,0,0,,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,0,0,3,0,,0,,2,0,0,0,3
874,Anthony Martial,FRA,FW,Manchester Utd,27,1995,13,7,609,6.8,4,2,6,3,1,1,0,0,4.2,3.4,1.1,4.5,9,20,41,0.59,0.3,0.89,0.44,0.74,0.62,0.17,0.78,0.5,0.67,Matches,8b788c01,15,7,46.7,2.11,0.99,0.2,0.43,12.4,0,0.23,-0.2,-0.4,168,201,83.6,2081,542,119,131,90.8,37,43,86.0,5,9,55.6,1.0,0.9,7,10,7,0,16,2.26,11,0,1,1,1,5,0.71,2,0,1,1,1,0,2,2,0,0,2,1,33.3,2,5,5,1,3,3,0,266,7,30,265,7,46.7,6,40.0,179,4,18,12,223
875,Martinelli,BRA,FW,Arsenal,21,2001,33,32,2659,29.5,15,5,20,15,0,0,3,0,8.9,8.9,8.7,17.6,119,93,336,0.51,0.17,0.68,0.51,0.68,0.3,0.29,0.59,0.3,0.59,Matches,48a5a5d6,76,29,38.2,2.57,0.98,0.2,0.52,15.6,2,0.12,6.1,6.1,812,1079,75.3,12629,2589,438,516,84.9,283,343,82.5,61,121,50.4,6.9,-3.7,57,33,43,10,122,4.13,85,8,12,4,2,17,0.58,10,0,2,5,0,0,26,14,11,9,6,6,31.6,13,23,22,9,35,14,0,1443,17,213,1443,55,43.3,54,42.5,988,68,76,53,1083
876,Emiliano Martínez,ARG,GK,Aston Villa,30,1992,31,31,2689,29.9,0,0,0,0,0,0,6,0,0.0,0.0,0.3,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,7956236f,0,0,,0.0,0.0,,,,0,,0.0,0.0,876,1168,75.0,23268,15383,178,179,99.4,452,456,99.1,244,525,46.5,0.2,-0.3,2,17,0,0,5,0.17,3,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,1,1,16,1,1243,1033,0,1243,0,,0,,690,0,2,0,594
877,Lisandro Martínez,ARG,DF,Manchester Utd,25,1998,27,24,2114,23.5,1,0,1,1,0,0,6,0,0.5,0.5,0.3,0.8,12,83,2,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches,bac46a10,10,1,10.0,0.43,0.04,0.1,1.0,14.8,0,0.05,0.5,0.5,1330,1528,87.0,23895,8188,532,568,93.7,683,728,93.8,96,193,49.7,1.0,-0.3,6,92,5,0,18,0.77,16,0,0,0,1,1,0.04,1,0,0,0,0,0,54,28,33,18,3,30,69.8,13,51,24,33,87,103,0,1809,281,11,1809,14,87.5,0,0.0,1061,0,11,9,1138
878,Pape Matar Sarr,SEN,MF,Tottenham,20,2002,9,2,169,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,11,0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches,feb5d972,2,0,0.0,1.07,0.0,0.0,,27.3,0,0.03,-0.1,-0.1,118,130,90.8,1735,361,61,64,95.3,50,53,94.3,2,6,33.3,0.0,0.0,1,7,0,0,2,1.07,2,0,0,0,0,0,0.0,0,0,0,0,0,0,7,6,4,2,1,4,50.0,4,2,1,5,12,4,0,160,11,1,160,0,0.0,1,33.3,107,0,4,2,111
879,Jean-Philippe Mateta,FRA,FW,Crystal Palace,25,1997,27,6,735,8.2,2,0,2,2,0,0,3,0,3.3,3.3,0.6,3.9,7,6,39,0.24,0.0,0.24,0.24,0.24,0.4,0.08,0.48,0.4,0.48,Matches,50e6dc35,26,7,26.9,3.18,0.86,0.08,0.29,12.2,0,0.13,-1.3,-1.3,98,142,69.0,1118,139,66,88,75.0,19,27,70.4,3,4,75.0,0.1,-0.6,5,4,0,0,7,0.86,3,0,0,2,0,1,0.12,0,0,0,0,1,0,6,1,2,3,1,1,33.3,2,3,2,3,9,17,0,251,17,35,251,3,42.9,4,57.1,133,4,26,16,172
880,Joël Matip,CMR,DF,Liverpool,31,1991,13,11,1002,11.1,1,0,1,1,0,0,3,0,0.7,0.7,0.3,0.9,27,55,1,0.09,0.0,0.09,0.09,0.09,0.06,0.02,0.08,0.06,0.08,Matches,b217ef29,4,3,75.0,0.36,0.27,0.25,0.33,7.4,0,0.21,0.3,0.3,705,816,86.4,12796,4255,276,315,87.6,363,394,92.1,57,84,67.9,0.4,-0.3,3,47,7,0,15,1.35,13,0,0,0,0,0,0.0,0,0,0,0,0,0,14,8,12,2,0,11,47.8,12,8,5,17,31,45,3,927,107,12,927,4,57.1,3,42.9,598,1,12,1,655
881,Neal Maupay,FRA,FW,Everton,26,1996,23,11,1042,11.6,1,0,1,1,0,0,3,0,4.3,4.3,0.6,4.9,7,9,57,0.09,0.0,0.09,0.09,0.09,0.37,0.05,0.42,0.37,0.42,Matches,4bcf39f6,30,13,43.3,2.55,1.1,0.03,0.08,14.8,0,0.14,-3.3,-3.3,176,236,74.6,2310,188,115,140,82.1,46,59,78.0,6,8,75.0,0.2,-0.6,7,7,2,0,18,1.53,12,0,1,3,0,1,0.08,1,0,0,0,0,0,11,5,3,4,4,2,50.0,2,7,7,5,16,0,0,369,1,46,369,6,35.3,11,64.7,212,3,38,16,268
882,Kevin Mbabu,SUI,DFFW,Fulham,28,1995,6,1,144,1.6,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,4,8,11,0.0,0.62,0.62,0.0,0.62,0.0,0.25,0.25,0.0,0.25,Matches,493924a7,0,0,,0.0,0.0,,,,0,,0.0,0.0,68,94,72.3,1051,383,40,43,93.0,24,35,68.6,4,9,44.4,0.4,0.6,2,4,5,3,3,1.87,2,0,1,0,0,1,0.62,1,0,0,0,0,0,3,2,2,1,0,1,33.3,2,2,2,3,6,3,0,114,4,0,114,4,66.7,2,33.3,57,0,1,2,59
883,Bryan Mbeumo,CMR,FW,Brentford,23,1999,33,31,2458,27.3,6,6,12,5,1,1,4,0,7.7,6.9,6.1,13.0,56,76,200,0.22,0.22,0.44,0.18,0.4,0.28,0.22,0.51,0.25,0.48,Matches,6afaebf2,54,23,42.6,1.98,0.84,0.09,0.22,17.1,1,0.13,-1.7,-1.9,539,820,65.7,8614,2655,307,373,82.3,152,241,63.1,59,122,48.4,4.4,-0.1,43,28,42,13,83,3.04,55,22,5,1,0,13,0.48,10,2,1,0,0,0,22,14,5,11,6,7,18.9,30,15,15,9,31,16,0,1096,19,96,1095,39,53.4,29,39.7,636,19,59,47,709
884,James McArthur,SCO,MF,Crystal Palace,35,1987,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cee31595,0,0,,0.0,0.0,,,,0,,0.0,0.0,17,22,77.3,244,37,9,11,81.8,7,8,87.5,1,2,50.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,100.0,0,0,0,0,1,1,0,26,1,0,26,1,50.0,0,0.0,17,0,1,3,21
885,John McGinn,SCO,MFFW,Aston Villa,28,1994,29,25,2243,24.9,1,3,4,1,0,0,5,0,2.1,2.1,2.6,4.7,26,110,62,0.04,0.12,0.16,0.04,0.16,0.09,0.1,0.19,0.09,0.19,Matches,90f91999,36,9,25.0,1.44,0.36,0.03,0.11,23.3,0,0.06,-1.1,-1.1,684,877,78.0,12213,4073,320,369,86.7,258,313,82.4,87,141,61.7,3.1,0.4,17,94,18,5,65,2.61,48,8,2,3,1,10,0.4,7,1,0,0,2,0,58,33,25,27,6,31,52.5,28,36,32,19,77,17,0,1143,33,39,1143,35,60.3,12,20.7,661,6,46,29,755
886,Scott McKenna,SCO,DF,Nott'ham Forest,26,1996,20,19,1571,17.5,0,0,0,0,0,0,4,0,0.1,0.1,1.0,1.1,5,35,2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,4e5a4cbc,2,0,0.0,0.11,0.0,0.0,,8.2,0,0.04,-0.1,-0.1,569,727,78.3,11331,4319,163,195,83.6,334,394,84.8,66,122,54.1,0.4,-1.0,8,35,3,1,10,0.57,10,0,0,0,0,1,0.06,1,0,0,0,0,0,12,7,7,3,2,6,60.0,4,20,6,12,24,85,1,877,151,21,877,5,71.4,1,14.3,430,0,2,2,508
887,Weston McKennie,USA,MF,Leeds United,24,1998,14,11,1045,11.6,0,0,0,0,0,0,6,0,0.5,0.5,0.4,0.9,9,64,18,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.08,0.04,0.08,Matches,01c3aff5,8,1,12.5,0.69,0.09,0.0,0.0,16.3,0,0.06,-0.5,-0.5,374,487,76.8,5984,2053,195,242,80.6,120,150,80.0,37,55,67.3,0.4,-0.4,9,37,14,2,18,1.55,17,0,0,0,0,1,0.09,1,0,0,0,0,0,22,10,4,15,3,6,26.1,17,18,15,19,41,21,0,620,35,10,620,11,78.6,3,21.4,316,0,20,19,361
888,Dwight McNeil,ENG,FWMF,Everton,23,1999,30,22,1958,21.8,4,2,6,4,0,0,5,0,1.6,1.6,4.2,5.8,61,55,107,0.18,0.09,0.28,0.18,0.28,0.07,0.19,0.27,0.07,0.27,Matches,fc15fb84,37,11,29.7,1.63,0.48,0.14,0.45,21.6,1,0.05,3.3,3.3,521,779,66.9,8719,2635,275,319,86.2,164,224,73.2,62,152,40.8,3.9,-2.2,35,35,23,12,78,3.43,42,24,6,2,2,7,0.31,2,2,1,0,1,1,54,35,32,9,13,21,44.7,26,40,35,21,75,29,0,1077,36,47,1076,43,48.9,42,47.7,602,12,47,34,635
889,Scott McTominay,SCO,MF,Manchester Utd,26,1996,21,10,1126,12.5,1,0,1,1,0,0,7,0,1.3,1.3,0.5,1.8,19,30,19,0.08,0.0,0.08,0.08,0.08,0.1,0.04,0.14,0.1,0.14,Matches,d93c2511,11,4,36.4,0.88,0.32,0.09,0.25,14.5,0,0.12,-0.3,-0.3,340,412,82.5,5241,1472,186,215,86.5,116,135,85.9,25,34,73.5,1.0,-0.5,7,30,5,1,22,1.76,17,0,1,2,0,0,0.0,0,0,0,0,0,0,32,19,16,10,6,13,61.9,8,14,9,13,45,44,0,590,66,24,590,13,50.0,9,34.6,302,3,22,19,340
890,Ben Mee,ENG,DF,Brentford,33,1989,32,32,2819,31.3,3,0,3,3,0,0,2,0,2.3,2.3,0.3,2.6,7,71,13,0.1,0.0,0.1,0.1,0.1,0.07,0.01,0.08,0.07,0.08,Matches,8df7a2fb,20,4,20.0,0.64,0.13,0.15,0.75,10.7,0,0.11,0.7,0.7,1124,1492,75.3,21565,8951,431,511,84.3,537,656,81.9,145,279,52.0,0.6,-0.3,5,68,7,1,25,0.8,19,0,1,1,0,0,0.0,0,0,0,0,0,0,36,21,23,11,2,16,53.3,14,44,11,43,79,108,1,1798,237,51,1798,11,91.7,1,8.3,947,3,16,1,972
891,Edouard Mendy,SEN,GK,Chelsea,31,1992,9,8,765,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,33887998,0,0,,0.0,0.0,,,,0,,0.0,0.0,213,268,79.5,4987,3402,69,69,100.0,87,88,98.9,53,107,49.5,0.0,0.0,0,4,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,2,286,247,0,286,0,0.0,1,100.0,160,0,0,0,148
892,Nampalys Mendy,SEN,MF,Leicester City,30,1992,17,7,735,8.2,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.2,2,28,4,0.12,0.0,0.12,0.12,0.12,0.02,0.0,0.02,0.02,0.02,Matches,1598599e,2,1,50.0,0.24,0.12,0.5,1.0,21.1,0,0.07,0.9,0.9,357,408,87.5,5500,1124,186,201,92.5,142,155,91.6,19,26,73.1,0.1,0.0,2,20,3,0,9,1.11,5,0,1,1,2,0,0.0,0,0,0,0,0,0,13,9,7,6,0,8,53.3,7,20,16,13,26,2,0,484,12,2,484,7,63.6,3,27.3,278,0,6,1,328
893,Chris Mepham,WAL,DF,Bournemouth,25,1997,24,22,2019,22.4,0,0,0,0,0,0,7,0,0.7,0.7,0.2,0.9,2,38,1,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,fed96827,8,4,50.0,0.34,0.17,0.0,0.0,9.8,0,0.09,-0.7,-0.7,829,989,83.8,15531,5461,292,327,89.3,459,503,91.3,71,133,53.4,0.6,-0.2,4,41,2,0,8,0.34,6,0,0,0,0,0,0.0,0,0,0,0,0,0,42,20,34,8,0,16,59.3,11,39,12,30,72,145,0,1271,275,14,1271,3,50.0,2,33.3,611,2,4,3,748
894,Illan Meslier,FRA,GK,Leeds United,23,2000,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,6b625ac2,1,1,100.0,0.03,0.03,0.0,0.0,9.0,0,0.12,-0.1,-0.1,642,1008,63.7,16182,10548,139,143,97.2,344,349,98.6,155,507,30.6,0.0,0.0,0,12,1,0,4,0.12,2,2,0,0,0,0,0.0,0,0,0,0,0,0,2,1,2,0,0,2,50.0,2,0,0,1,3,29,1,1090,878,1,1090,0,,0,,573,0,1,1,406
895,Alexander Mighten,ENG,FW,Nott'ham Forest,21,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,10ec4169,0,0,,0.0,0.0,,,,0,,0.0,0.0,1,1,100.0,11,0,1,1,100.0,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,4,0,0,4,0,0.0,2,66.7,4,0,0,0,4
896,Luka Milivojević,SRB,MF,Crystal Palace,32,1991,17,5,511,5.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,2,20,2,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,2ce2508a,7,0,0.0,1.23,0.0,0.0,,25.1,1,0.05,-0.3,-0.3,206,256,80.5,3583,1133,89,100,89.0,89,106,84.0,20,36,55.6,0.2,-0.2,2,17,2,1,3,0.53,1,1,0,0,0,0,0.0,0,0,0,0,0,0,13,7,7,4,2,7,70.0,3,13,9,12,25,10,0,316,28,1,316,1,100.0,0,0.0,161,0,4,6,178
897,James Milner,ENG,MFDF,Liverpool,37,1986,25,6,766,8.5,0,1,1,0,0,0,1,0,0.4,0.4,0.8,1.2,17,58,68,0.0,0.12,0.12,0.0,0.12,0.04,0.1,0.14,0.04,0.14,Matches,2f90f6b8,6,1,16.7,0.7,0.12,0.0,0.0,16.2,0,0.06,-0.4,-0.4,470,612,76.8,8342,2891,214,237,90.3,200,236,84.7,45,100,45.0,1.6,0.2,11,49,13,4,32,3.77,23,4,3,0,0,3,0.35,2,1,0,0,0,0,22,12,10,9,3,13,43.3,17,13,11,12,34,14,0,717,21,22,717,11,55.0,7,35.0,367,5,17,12,467
898,Yerry Mina,COL,DF,Everton,28,1994,3,3,234,2.6,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,1,7,1,0.38,0.0,0.38,0.38,0.38,0.09,0.0,0.09,0.09,0.09,Matches,6d5701f2,3,2,66.7,1.15,0.77,0.33,0.5,12.4,0,0.08,0.8,0.8,156,174,89.7,2741,956,57,62,91.9,90,99,90.9,7,11,63.6,0.0,0.0,0,10,0,0,1,0.38,1,0,0,0,0,0,0.0,0,0,0,0,0,0,9,4,4,5,0,7,100.0,0,2,1,2,11,9,0,207,25,3,207,0,,0,,120,0,3,0,141
899,Tyrone Mings,ENG,DF,Aston Villa,30,1993,30,30,2700,30.0,1,2,3,1,0,0,4,0,0.6,0.6,1.4,2.0,13,94,6,0.03,0.07,0.1,0.03,0.1,0.02,0.05,0.07,0.02,0.07,Matches,8397a50c,5,2,40.0,0.17,0.07,0.2,0.5,14.4,0,0.11,0.4,0.4,1433,1679,85.3,27751,10505,458,505,90.7,818,877,93.3,142,263,54.0,0.9,0.6,5,94,6,0,18,0.6,14,0,0,2,0,4,0.13,2,0,0,1,1,0,12,5,8,4,0,7,41.2,10,36,15,41,53,132,2,1954,319,18,1954,4,44.4,2,22.2,1205,2,7,6,1314
900,Tyrick Mitchell,ENG,DF,Crystal Palace,23,1999,31,29,2441,27.1,0,2,2,0,0,0,5,1,0.6,0.6,1.1,1.7,20,85,71,0.0,0.07,0.07,0.0,0.07,0.02,0.04,0.06,0.02,0.06,Matches,5cbd1eb0,6,1,16.7,0.22,0.04,0.0,0.0,11.6,0,0.1,-0.6,-0.6,943,1333,70.7,15096,7103,489,584,83.7,395,526,75.1,47,151,31.1,1.1,0.9,13,73,18,7,29,1.07,24,1,2,0,2,3,0.11,3,0,0,0,0,0,60,43,36,21,3,24,53.3,21,38,29,37,97,68,0,1582,99,26,1582,14,51.9,9,33.3,688,3,31,15,793
901,Kaoru Mitoma,JPN,FW,Brighton,25,1997,25,18,1719,19.1,7,4,11,7,0,0,0,0,4.7,4.7,4.9,9.6,107,74,193,0.37,0.21,0.58,0.37,0.58,0.25,0.26,0.5,0.25,0.5,Matches,74618572,34,17,50.0,1.78,0.89,0.21,0.41,13.7,0,0.14,2.3,2.3,626,776,80.7,8651,1987,404,455,88.8,176,219,80.4,24,39,61.5,4.3,-0.9,29,39,24,0,81,4.24,61,1,13,3,0,11,0.58,7,0,2,1,1,0,34,20,12,12,10,15,55.6,12,21,21,10,44,9,0,1016,15,123,1016,43,47.8,37,41.1,689,58,40,24,776
902,Aleksandar Mitrović,SRB,FW,Fulham,28,1994,21,21,1813,20.1,11,1,12,8,3,6,6,0,12.3,7.6,2.1,9.8,19,41,91,0.55,0.05,0.6,0.4,0.45,0.61,0.11,0.72,0.38,0.49,Matches,3925dbd6,80,25,31.3,3.97,1.24,0.1,0.32,15.1,0,0.1,-1.3,0.4,270,449,60.1,4300,877,154,231,66.7,78,122,63.9,30,48,62.5,1.1,-1.1,15,25,8,1,53,2.63,24,0,9,6,1,9,0.45,2,0,1,4,2,0,14,7,8,4,2,5,50.0,5,20,15,3,17,19,1,743,26,132,737,23,51.1,20,44.4,416,10,57,53,593
903,Kieffer Moore,WAL,FW,Bournemouth,30,1992,22,12,1165,12.9,4,0,4,4,0,0,1,0,3.7,3.7,0.3,4.0,10,22,49,0.31,0.0,0.31,0.31,0.31,0.29,0.02,0.31,0.29,0.31,Matches,01ce9e70,20,7,35.0,1.54,0.54,0.2,0.57,11.5,0,0.19,0.3,0.3,200,335,59.7,2795,471,111,176,63.1,59,90,65.6,11,19,57.9,0.5,-0.3,4,16,6,0,17,1.31,13,0,1,3,0,2,0.15,2,0,0,0,0,0,13,11,2,8,3,5,31.3,11,10,5,1,14,22,0,473,31,45,473,2,16.7,6,50.0,237,2,38,31,365
904,Andrew Moran,IRL,FW,Brighton,19,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,c4720845,0,0,,0.0,0.0,,,,0,,0.0,0.0,1,2,50.0,13,0,1,1,100.0,0,1,0.0,0,0,,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,6,0,0,6,0,,0,,3,0,2,0,3
905,Álex Moreno,ESP,DF,Aston Villa,29,1993,15,11,1069,11.9,0,3,3,0,0,0,3,0,0.5,0.5,2.4,3.0,51,22,95,0.0,0.25,0.25,0.0,0.25,0.04,0.21,0.25,0.04,0.25,Matches,16e9d0ea,12,2,16.7,1.01,0.17,0.0,0.0,19.0,0,0.04,-0.5,-0.5,480,619,77.5,7009,2079,265,314,84.4,181,226,80.1,16,29,55.2,2.1,0.6,20,14,18,10,29,2.44,27,0,2,0,0,3,0.25,3,0,0,0,0,0,17,11,12,3,2,11,37.9,18,15,12,5,22,28,2,780,49,38,780,22,44.0,24,48.0,415,15,28,14,471
906,Mason Mount,ENG,MFFW,Chelsea,24,1999,24,20,1648,18.3,3,2,5,3,0,0,4,0,2.0,2.0,3.0,5.0,48,98,114,0.16,0.11,0.27,0.16,0.27,0.11,0.16,0.27,0.11,0.27,Matches,9674002f,33,9,27.3,1.8,0.49,0.09,0.33,19.7,2,0.06,1.0,1.0,585,778,75.2,8688,2236,350,409,85.6,165,216,76.4,44,84,52.4,2.8,-1.0,30,55,27,5,57,3.11,42,9,2,2,0,7,0.38,5,0,0,1,1,0,33,19,6,16,11,14,51.9,13,24,18,8,41,9,0,969,17,56,969,15,48.4,13,41.9,530,11,36,29,678
907,Lucas Moura,BRA,MFDF,Tottenham,30,1992,12,0,126,1.4,0,0,0,0,0,0,0,1,0.1,0.1,0.3,0.3,3,9,11,0.0,0.0,0.0,0.0,0.0,0.06,0.18,0.24,0.06,0.24,Matches,2b622f01,1,0,0.0,0.71,0.0,0.0,,11.9,0,0.09,-0.1,-0.1,46,67,68.7,617,202,30,40,75.0,15,20,75.0,0,1,0.0,0.3,-0.3,3,2,5,1,7,5.0,5,0,0,1,1,0,0.0,0,0,0,0,0,0,7,5,1,2,4,1,50.0,1,0,0,2,9,1,0,88,0,7,88,3,37.5,5,62.5,49,1,4,3,62
908,João Moutinho,POR,MF,Wolves,36,1986,30,20,1779,19.8,0,2,2,0,0,0,3,0,1.3,1.3,2.6,3.9,23,132,32,0.0,0.1,0.1,0.0,0.1,0.07,0.13,0.2,0.07,0.2,Matches,f5a00fa4,16,3,18.8,0.81,0.15,0.0,0.0,18.4,3,0.08,-1.3,-1.3,850,1057,80.4,15648,4124,323,362,89.2,412,480,85.8,91,147,61.9,1.9,-0.6,36,105,23,4,66,3.34,49,14,0,1,0,3,0.15,3,0,0,0,0,0,51,30,24,21,6,19,41.3,27,22,16,18,69,20,0,1218,42,15,1218,8,53.3,7,46.7,615,0,14,7,769
909,Divin Mubama,ENG,FW,West Ham,18,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,92868cb5,0,0,,0.0,0.0,,,,0,,0.0,0.0,1,1,100.0,14,0,1,1,100.0,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,,0,,1,0,0,0,1
910,Mykhailo Mudryk,UKR,FWMF,Chelsea,22,2001,11,5,490,5.4,0,2,2,0,0,0,0,0,1.2,1.2,0.4,1.5,18,14,30,0.0,0.37,0.37,0.0,0.37,0.22,0.06,0.28,0.22,0.28,Matches,049a888d,9,3,33.3,1.65,0.55,0.0,0.0,18.9,0,0.13,-1.2,-1.2,119,163,73.0,1494,427,78,99,78.8,26,35,74.3,4,13,30.8,0.5,1.6,5,8,6,0,16,2.94,10,1,1,3,0,2,0.37,2,0,0,0,0,0,8,7,1,3,4,3,33.3,6,5,4,0,8,2,0,244,5,20,244,9,28.1,17,53.1,153,5,19,10,156
911,Jacob Murphy,ENG,FW,Newcastle Utd,28,1995,31,12,1060,11.8,3,2,5,3,0,0,0,0,1.9,1.9,2.6,4.5,56,55,122,0.25,0.17,0.42,0.25,0.42,0.16,0.22,0.38,0.16,0.38,Matches,de112b84,26,10,38.5,2.16,0.83,0.15,0.4,18.7,0,0.12,0.9,0.9,258,390,66.2,3975,1065,153,188,81.4,81,117,69.2,16,36,44.4,2.6,-0.6,17,18,26,4,45,3.74,35,0,3,4,1,6,0.5,5,0,0,0,0,1,12,6,3,6,3,6,35.3,11,16,16,6,18,3,0,515,10,64,515,11,30.6,18,50.0,328,25,13,18,368
912,Enock Mwepu,ZAM,FWMF,Brighton,25,1998,6,2,213,2.4,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,5,6,17,0.0,0.42,0.42,0.0,0.42,0.09,0.2,0.29,0.09,0.29,Matches,1d5cab82,2,1,50.0,0.85,0.42,0.0,0.0,16.7,0,0.11,-0.2,-0.2,61,78,78.2,819,126,42,50,84.0,15,17,88.2,3,5,60.0,0.2,0.5,3,5,2,0,7,2.96,6,0,1,0,0,2,0.85,1,0,1,0,0,0,10,5,1,6,3,3,75.0,1,3,2,1,11,1,0,116,1,7,116,1,20.0,4,80.0,58,1,10,5,80
913,Vitaliy Mykolenko,UKR,DFMF,Everton,23,1999,31,27,2385,26.5,0,0,0,0,0,0,4,0,0.5,0.5,1.2,1.7,30,95,69,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,30d4a2e5,10,3,30.0,0.36,0.11,0.0,0.0,20.3,0,0.05,-0.5,-0.5,944,1256,75.2,14871,5740,502,578,86.9,354,459,77.1,63,141,44.7,0.9,-1.2,19,84,21,11,44,1.6,39,1,0,2,0,2,0.07,1,0,0,1,0,0,55,31,35,17,3,26,59.1,18,48,33,41,96,87,0,1566,113,25,1566,11,44.0,14,56.0,673,6,30,8,777
