,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-262,1997,19.3,4,46,13,28.3,2.39,0.67,0.09,0.31,18.1,2,0,0,4.9,4.9,0.11,-0.9,-0.9,Matches,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-188,2004,5.8,1,6,3,50.0,1.03,0.51,0.17,0.33,24.5,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-235,1993,13.8,3,40,14,35.0,2.89,1.01,0.08,0.21,14.6,1,0,1,6.9,6.1,0.15,-3.9,-3.1,Matches,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-020,1998,6.1,0,4,1,25.0,0.66,0.16,0.00,0.00,15.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,2886c9b5
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-140,1997,26.2,10,62,28,45.2,2.37,1.07,0.16,0.36,15.9,0,0,0,8.0,8.0,0.13,+2.0,+2.0,Matches,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-067,2002,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-111,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-016,1996,13.6,0,7,0,0.0,0.52,0.00,0.00,,15.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-016,1996,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-010,1997,1.9,0,2,0,0.0,1.08,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-312,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-138,2001,19.5,0,14,2,14.3,0.72,0.10,0.00,0.00,16.1,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-261,1995,20.4,5,62,20,32.3,3.04,0.98,0.02,0.05,21.6,5,4,4,6.7,3.5,0.06,-1.7,-2.5,Matches,5a04fd92
