,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
277,Adam Lallana,eng ENG,MFFW,Brighton,34-353,1988,8.0,373,6,43,180,151,33,373,6,3,50.0,3,50.0,206,839,420,10,4,4,15,11,295,43,Matches,99813635
278,Tariq Lamptey,gh GHA,DF,Brighton,22-210,2000,5.0,376,15,80,138,161,17,376,28,8,28.6,13,46.4,232,1451,808,28,12,7,16,2,256,58,Matches,f4e433d4
279,Manuel Lanzini,ar ARG,MFFW,West Ham,30-072,1993,1.7,108,0,21,60,28,0,108,1,1,100.0,0,0.0,71,371,134,2,3,0,1,2,85,4,Matches,26f6dca8
280,Aymeric Laporte,es ESP,DF,Manchester City,28-336,1994,7.2,643,44,192,324,130,11,643,2,1,50.0,1,50.0,445,2419,1671,21,36,0,3,0,508,10,Matches,119b9a8e
281,Juan Larios,es ESP,DF,Southampton,19-106,2004,1.7,106,10,32,55,20,2,106,4,3,75.0,1,25.0,38,338,201,10,2,1,3,2,47,1,Matches,cf7fb13a
282,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-168,1993,2.4,118,27,68,47,4,4,118,0,0,,0,,64,269,103,0,0,0,0,0,75,0,Matches,450ab6fc
283,Roméo Lavia,be BEL,MF,Southampton,19-112,2004,20.1,1047,46,228,675,156,1,1047,41,22,53.7,11,26.8,660,3502,1591,18,20,0,21,28,642,13,Matches,ecad9aa5
284,Dexter Lembikisa,jm JAM,DF,Wolves,19-175,2003,0.3,13,0,3,7,3,0,13,0,0,,0,,7,29,21,2,0,0,0,0,8,3,Matches,0bdda685
285,Mario Lemina,ga GAB,MF,Wolves,29-239,1993,10.4,581,42,195,333,61,4,581,13,8,61.5,2,15.4,302,1405,709,4,5,0,11,8,376,8,Matches,2b471f99
286,Clément Lenglet,fr FRA,DF,Tottenham,27-315,1995,18.5,1330,133,647,593,96,14,1330,8,4,50.0,3,37.5,909,4436,2707,25,24,1,10,5,989,7,Matches,4f28a6ff
287,Bernd Leno,de GER,GK,Fulham,31-055,1992,30.0,1203,957,1196,7,0,0,1203,0,0,,0,,661,3196,1834,0,0,0,1,0,579,0,Matches,2628fd2b
288,Jefferson Lerma,co COL,MF,Bournemouth,28-185,1994,31.1,1650,153,517,856,298,38,1650,21,12,57.1,8,38.1,812,3247,1611,20,30,1,20,15,989,24,Matches,9b5ce51a
289,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-093,1998,0.1,13,0,6,2,5,2,13,0,0,,0,,8,38,10,0,1,0,0,0,11,1,Matches,efb9215a
290,Rico Lewis,eng ENG,DFMF,Manchester City,18-158,2004,6.0,468,11,78,264,130,9,468,9,3,33.3,3,33.3,327,1702,882,18,14,3,4,11,375,14,Matches,b57e066e
291,Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-065,2001,3.6,138,4,24,48,69,18,138,14,4,28.6,10,71.4,93,652,336,8,6,3,11,8,91,39,Matches,41f08ac8
292,Victor Lindelöf,se SWE,DF,Manchester Utd,28-285,1994,8.2,607,74,305,288,16,1,607,3,2,66.7,1,33.3,395,1775,858,2,1,0,0,2,422,0,Matches,f5deef4c
293,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-134,1992,10.3,371,7,44,202,132,16,371,10,6,60.0,4,40.0,214,1003,527,11,12,0,16,10,263,38,Matches,810e3c74
294,Diego Llorente,es ESP,DF,Leeds United,29-255,1993,7.2,506,59,283,210,15,6,506,3,2,66.7,1,33.3,303,1566,721,2,1,0,6,1,312,1,Matches,bba30585
295,Hugo Lloris,fr FRA,GK,Tottenham,36-123,1986,24.5,794,723,792,2,0,0,794,0,0,,0,,430,2401,1498,0,0,0,2,0,353,0,Matches,8f62b6ee
296,Renan Lodi,br BRA,DF,Nott'ham Forest,25-020,1998,20.2,1003,84,408,385,223,15,1003,35,16,45.7,11,31.4,492,2553,1277,23,13,2,16,10,484,61,Matches,ed9f7cfe
297,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-095,1996,14.6,925,35,168,498,271,39,925,51,24,47.1,20,39.2,553,3059,1725,44,22,9,20,19,669,78,Matches,e97fd090
298,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-180,1997,27.0,1375,45,276,711,395,70,1375,27,8,29.6,18,66.7,708,2845,1135,21,13,8,35,28,902,104,Matches,a2b105e0
299,Jamal Lowe,jm JAM,MFFW,Bournemouth,28-281,1994,0.1,4,0,0,3,1,0,4,0,0,,0,,2,7,1,0,0,0,0,0,3,0,Matches,b2856bc0
300,Douglas Luiz,br BRA,MF,Aston Villa,24-354,1998,27.6,1837,60,467,1025,363,17,1836,40,23,57.5,12,30.0,976,5262,2435,40,32,4,32,27,1161,29,Matches,6f7d826d
301,Saša Lukić,rs SRB,MF,Fulham,26-258,1996,2.6,165,4,29,108,29,3,165,2,2,100.0,0,0.0,103,593,317,5,4,1,2,0,117,5,Matches,c6e8cf1f
302,Lyanco,br BRA,DF,Southampton,26-086,1997,8.8,493,62,231,222,48,7,493,9,7,77.8,2,22.2,266,1340,693,7,5,1,10,4,241,4,Matches,b5bf1770
303,Alexis Mac Allister,ar ARG,MF,Brighton,24-125,1998,26.0,1756,37,289,977,508,49,1751,52,32,61.5,14,26.9,1057,4799,2358,48,52,7,36,30,1317,61,Matches,83d074ff
304,James Maddison,eng ENG,MFFW,Leicester City,26-156,1996,23.1,1206,13,130,549,536,85,1206,75,28,37.3,28,37.3,807,4498,2039,56,31,23,40,22,914,125,Matches,ee38d9c5
305,Noni Madueke,eng ENG,FWDF,Chelsea,21-049,2002,2.5,149,1,18,50,84,13,149,24,12,50.0,9,37.5,102,754,372,12,5,4,6,5,113,34,Matches,bf34eebd
306,Harry Maguire,eng ENG,DF,Manchester Utd,30-054,1993,7.4,593,62,304,263,30,8,593,3,2,66.7,1,33.3,375,2146,1353,8,6,1,1,0,399,4,Matches,d8931174
307,Riyad Mahrez,dz ALG,FWMF,Manchester City,32-066,1991,14.6,966,4,59,353,562,84,965,52,16,30.8,19,36.5,646,3674,1757,57,38,31,23,13,731,179,Matches,892d5bb1
308,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18-009,2005,0.1,11,0,2,4,5,3,11,1,0,0.0,1,100.0,5,64,48,2,0,0,0,0,6,1,Matches,c6220452
309,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-242,1997,13.5,782,61,297,364,131,7,782,18,13,72.2,5,27.8,344,1768,769,12,11,2,20,12,428,31,Matches,e3a5814e
310,Tyrell Malacia,nl NED,DF,Manchester Utd,23-254,1999,12.0,764,45,293,304,173,11,764,17,4,23.5,13,76.5,369,1752,863,18,14,3,16,5,413,28,Matches,6b6c793c
311,Orel Mangala,be BEL,MF,Nott'ham Forest,25-041,1998,12.5,512,23,125,305,88,8,512,28,14,50.0,10,35.7,273,1438,655,12,5,2,10,7,307,7,Matches,a572e291
312,Javier Manquillo,es ESP,DF,Newcastle Utd,28-358,1994,0.4,34,2,10,15,9,1,34,0,0,,0,,19,80,38,2,0,0,0,0,20,1,Matches,758dd7f0
313,Sekou Mara,fr FRA,FWMF,Southampton,20-272,2002,5.8,215,5,27,97,99,24,215,29,13,44.8,16,55.2,125,701,281,7,9,2,28,18,145,26,Matches,3544641e
314,Solly March,eng ENG,FWDF,Brighton,28-282,1994,28.9,1581,43,183,499,913,130,1581,102,51,50.0,33,32.4,974,6333,2850,103,45,43,52,30,1073,331,Matches,bb5fbd2b
315,Emiliano Marcondes,dk DEN,MF,Bournemouth,28-050,1995,0.1,3,1,1,2,0,0,3,1,0,0.0,0,0.0,2,11,7,0,0,0,0,0,2,0,Matches,4d960fc3
316,Marquinhos,br BRA,MF,Arsenal,20-021,2003,0.0,3,0,0,2,1,0,3,0,0,,0,,2,6,1,0,0,0,0,0,3,0,Matches,59878425
317,Anthony Martial,fr FRA,FW,Manchester Utd,27-144,1995,7.1,266,7,12,101,155,30,265,15,7,46.7,6,40.0,179,738,320,9,9,4,18,12,223,46,Matches,8b788c01
318,Martinelli,br BRA,FW,Arsenal,21-314,2001,29.5,1443,17,124,401,938,213,1443,127,55,43.3,54,42.5,988,6963,3185,119,63,68,76,53,1083,336,Matches,48a5a5d6
319,Emiliano Martínez,ar ARG,GK,Aston Villa,30-238,1992,29.9,1243,1033,1232,12,0,0,1243,0,0,,0,,690,3546,2108,0,0,0,2,0,594,0,Matches,7956236f
320,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-100,1998,23.5,1809,281,934,829,60,11,1809,16,14,87.5,0,0.0,1061,5256,2986,12,16,0,11,9,1138,2,Matches,bac46a10
321,Pape Matar Sarr,sn SEN,MF,Tottenham,20-226,2002,1.9,160,11,55,88,17,1,160,3,0,0.0,1,33.3,107,519,204,1,0,0,4,2,111,0,Matches,feb5d972
322,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-304,1997,8.2,251,17,36,106,111,35,251,7,3,42.9,4,57.1,133,600,213,7,8,4,26,16,172,39,Matches,50e6dc35
323,Joël Matip,cm CMR,DF,Liverpool,31-263,1991,11.1,927,107,458,425,52,12,927,7,4,57.1,3,42.9,598,3892,2764,27,21,1,12,1,655,1,Matches,b217ef29
324,Neal Maupay,fr FRA,FW,Everton,26-257,1996,11.8,369,1,25,165,184,46,369,17,6,35.3,11,64.7,212,825,273,7,7,3,38,16,268,58,Matches,4bcf39f6
325,Kevin Mbabu,ch SUI,DFFW,Fulham,28-009,1995,1.6,114,4,38,40,38,0,114,6,4,66.7,2,33.3,57,273,159,4,2,0,1,2,59,11,Matches,493924a7
326,Bryan Mbeumo,cm CMR,FW,Brentford,23-264,1999,27.3,1096,19,160,332,620,96,1095,73,39,53.4,29,39.7,636,3631,1540,56,24,19,59,47,709,200,Matches,6afaebf2
327,James McArthur,sct SCO,MF,Crystal Palace,35-203,1987,0.2,26,1,7,14,5,0,26,2,1,50.0,0,0.0,17,75,33,0,0,0,1,3,21,0,Matches,cee31595
328,Alex McCarthy,eng ENG,GK,Southampton,33-146,1989,1.0,47,35,47,0,0,0,47,0,0,,0,,32,47,22,0,0,0,0,0,28,0,Matches,36c2ca73
329,John McGinn,sct SCO,MFFW,Aston Villa,28-192,1994,24.9,1143,33,190,639,327,39,1143,58,35,60.3,12,20.7,661,3297,1430,26,29,6,46,29,755,62,Matches,90f91999
330,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-167,1996,17.5,877,151,501,333,45,21,877,7,5,71.4,1,14.3,430,1885,929,5,1,0,2,2,508,2,Matches,4e5a4cbc
331,Weston McKennie,us USA,MF,Leeds United,24-243,1998,11.6,620,35,156,315,157,10,620,14,11,78.6,3,21.4,316,1363,592,9,13,0,20,19,361,18,Matches,01c3aff5
332,Dwight McNeil,eng ENG,FWMF,Everton,23-157,1999,22.8,1077,36,188,409,498,47,1076,88,43,48.9,42,47.7,602,4208,1563,63,34,12,47,34,635,111,Matches,fc15fb84
333,Scott McTominay,sct SCO,MF,Manchester Utd,26-141,1996,12.5,590,66,197,271,128,24,590,26,13,50.0,9,34.6,302,1533,753,19,16,3,22,19,340,19,Matches,d93c2511
334,Ben Mee,eng ENG,DF,Brentford,33-219,1989,31.3,1798,237,938,741,128,51,1798,12,11,91.7,1,8.3,947,3852,1993,7,10,3,16,1,972,13,Matches,8df7a2fb
335,Edouard Mendy,sn SEN,GK,Chelsea,31-058,1992,8.5,286,247,283,3,0,0,286,1,0,0.0,1,100.0,160,744,399,0,0,0,0,0,148,0,Matches,33887998
336,Nampalys Mendy,sn SEN,MF,Leicester City,30-309,1992,8.2,484,12,139,304,45,2,484,11,7,63.6,3,27.3,278,1309,451,2,5,0,6,1,328,4,Matches,1598599e
337,Chris Mepham,wls WAL,DF,Bournemouth,25-174,1997,23.4,1271,275,812,433,33,14,1271,6,3,50.0,2,33.3,611,2979,1548,2,6,2,4,3,748,1,Matches,fed96827
338,Illan Meslier,fr FRA,GK,Leeds United,23-057,2000,33.0,1090,878,1084,5,2,1,1090,0,0,,0,,573,3299,1907,0,0,0,1,1,406,0,Matches,6b625ac2
339,Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-017,2002,0.1,4,0,1,0,3,0,4,3,0,0.0,2,66.7,4,27,10,0,0,0,0,0,4,1,Matches,10ec4169
340,Luka Milivojević,rs SRB,MF,Crystal Palace,32-021,1991,5.7,316,28,113,152,55,1,316,1,1,100.0,0,0.0,161,693,263,2,3,0,4,6,178,2,Matches,2ce2508a
341,James Milner,eng ENG,MFDF,Liverpool,37-114,1986,8.5,717,21,168,327,224,22,717,20,11,55.0,7,35.0,367,1590,714,17,12,5,17,12,467,68,Matches,2f90f6b8
342,Yerry Mina,co COL,DF,Everton,28-217,1994,2.6,207,25,92,107,9,3,207,0,0,,0,,120,603,328,1,1,0,3,0,141,1,Matches,6d5701f2
343,Tyrone Mings,eng ENG,DF,Aston Villa,30-046,1993,30.0,1954,319,1128,768,64,18,1954,9,4,44.4,2,22.2,1205,6842,3887,13,13,2,7,6,1314,6,Matches,8397a50c
344,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-239,1999,27.1,1582,99,566,687,343,26,1582,27,14,51.9,9,33.3,688,2615,1203,20,19,3,31,15,793,71,Matches,5cbd1eb0
345,Kaoru Mitoma,jp JPN,FW,Brighton,25-343,1997,19.1,1016,15,115,364,549,123,1016,90,43,47.8,37,41.1,689,5184,2936,107,64,58,40,24,776,193,Matches,74618572
346,Aleksandar Mitrović,rs SRB,FW,Fulham,28-224,1994,20.1,743,26,76,356,316,132,737,45,23,51.1,20,44.4,416,1731,627,19,11,10,57,53,593,91,Matches,3925dbd6
347,Kieffer Moore,wls WAL,FW,Bournemouth,30-263,1992,13.0,473,31,52,265,157,45,473,12,2,16.7,6,50.0,237,917,289,10,8,2,38,31,365,50,Matches,01ce9e70
348,Andrew Moran,ie IRL,FW,Brighton,19-195,2003,0.1,6,0,0,5,1,0,6,0,0,,0,,3,2,1,0,0,0,2,0,3,1,Matches,c4720845
349,Álex Moreno,es ESP,DF,Aston Villa,29-324,1993,11.9,780,49,269,288,230,38,780,50,22,44.0,24,48.0,415,2614,1379,51,20,15,28,14,471,95,Matches,16e9d0ea
350,Mason Mount,eng ENG,MFFW,Chelsea,24-108,1999,18.3,969,17,110,415,455,56,969,31,15,48.4,13,41.9,530,2745,1429,48,34,11,36,29,678,114,Matches,9674002f
351,Lucas Moura,br BRA,MFDF,Tottenham,30-258,1992,1.4,88,0,13,34,42,7,88,8,3,37.5,5,62.5,49,293,111,3,3,1,4,3,62,11,Matches,2b622f01
352,João Moutinho,pt POR,MF,Wolves,36-232,1986,19.8,1218,42,243,658,325,15,1218,15,8,53.3,7,46.7,615,2554,1350,23,23,0,14,7,769,32,Matches,f5a00fa4
353,Divin Mubama,eng ENG,FW,West Ham,18-185,2004,0.0,1,0,0,1,0,0,1,0,0,,0,,1,9,2,0,0,0,0,0,1,0,Matches,92868cb5
354,Mykhailo Mudryk,ua UKR,FWMF,Chelsea,22-113,2001,5.4,244,5,30,86,131,20,244,32,9,28.1,17,53.1,153,1098,504,18,14,5,19,10,156,30,Matches,049a888d
355,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-063,1995,12.0,515,10,53,177,296,64,515,36,11,30.6,18,50.0,328,2216,1333,58,29,25,13,18,368,123,Matches,de112b84
356,Enock Mwepu,zm ZAM,FWMF,Brighton,25-117,1998,2.4,116,1,12,54,53,7,116,5,1,20.0,4,80.0,58,318,141,5,2,1,10,5,80,17,Matches,1d5cab82
357,Vitaliy Mykolenko,ua UKR,DF,Everton,23-334,1999,27.5,1566,113,549,674,357,25,1566,25,11,44.0,14,56.0,673,3020,1465,30,32,6,30,8,777,70,Matches,30d4a2e5
358,Keylor Navas,cr CRC,GK,Nott'ham Forest,36-134,1986,13.0,468,418,466,2,0,0,468,1,1,100.0,0,0.0,212,1187,805,0,0,0,1,0,150,0,Matches,ecada4fc
359,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-133,1996,16.0,1005,76,349,594,79,5,1005,10,8,80.0,2,20.0,513,2195,948,9,13,0,13,7,610,6,Matches,6b47c5db
360,Reiss Nelson,eng ENG,FW,Arsenal,23-139,1999,1.4,108,2,13,20,77,15,108,5,5,100.0,0,0.0,74,516,309,14,3,5,1,8,87,27,Matches,c5bdb6e3
361,Neto,br BRA,GK,Bournemouth,33-283,1989,22.5,731,630,726,5,0,0,731,0,0,,0,,360,2333,1700,0,0,0,1,0,210,0,Matches,a9dc785c
362,Pedro Neto,pt POR,FWMF,Wolves,23-050,2000,8.4,431,4,55,131,251,41,431,48,16,33.3,26,54.2,277,1989,993,32,17,15,28,9,303,98,Matches,7ba2eaa9
363,Rúben Neves,pt POR,MF,Wolves,26-046,1997,29.1,2216,158,721,1178,338,22,2213,26,18,69.2,6,23.1,1191,5334,2626,26,29,1,19,11,1453,17,Matches,44bfb6c5
364,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-051,1996,7.9,308,68,195,81,33,4,308,3,0,0.0,3,100.0,108,560,275,1,0,0,4,1,116,1,Matches,00242715
365,Rasmus Nissen,dk DEN,DF,Leeds United,25-291,1997,16.8,1024,59,347,422,260,20,1024,15,7,46.7,7,46.7,414,1206,561,14,4,4,5,3,504,67,Matches,39769cff
366,Eddie Nketiah,eng ENG,FW,Arsenal,23-333,1999,11.5,388,10,34,147,213,82,388,34,15,44.1,13,38.2,246,1629,591,32,16,22,28,18,290,75,Matches,a53649b7
367,Matheus Nunes,pt POR,MF,Wolves,24-244,1998,23.7,1178,52,276,564,358,47,1178,71,38,53.5,23,32.4,752,4837,2255,48,42,8,37,36,825,112,Matches,e6af02e0
368,Darwin Núñez,uy URU,FW,Liverpool,23-308,1999,17.0,578,10,44,165,378,146,578,40,18,45.0,16,40.0,358,2651,1367,59,32,30,38,26,454,167,Matches,4d77b365
369,Ethan Nwaneri,eng ENG,FW,Arsenal,16-038,2007,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,7f94982c
370,Christian Nørgaard,dk DEN,MF,Brentford,29-049,1994,19.6,1050,78,338,554,165,42,1050,19,8,42.1,10,52.6,454,1518,671,4,11,2,14,10,526,8,Matches,df0a4c90
371,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-196,1998,6.5,297,19,72,161,71,3,297,17,7,41.2,3,17.6,157,947,518,13,9,2,12,7,166,3,Matches,089667a5
372,Odeluga Offiah,eng ENG,DF,Brighton,20-184,2002,0.0,7,0,2,4,1,0,7,0,0,,0,,4,22,2,0,0,0,1,0,4,0,Matches,65c3efa2
373,Angelo Ogbonna,it ITA,DF,West Ham,34-340,1988,8.9,326,60,196,119,11,6,326,0,0,,0,,146,665,145,0,0,0,1,3,155,1,Matches,74b2cd7e
374,Michael Olise,fr FRA,FWMF,Crystal Palace,21-137,2001,25.6,1537,21,210,614,734,66,1537,120,48,40.0,51,42.5,862,5264,2640,84,60,27,74,42,1004,191,Matches,c4486bac
375,Robin Olsen,se SWE,GK,Aston Villa,33-110,1990,3.1,141,119,139,2,0,0,141,0,0,,0,,80,405,198,0,0,0,1,0,57,0,Matches,e7ee38c3
376,Amadou Onana,be BEL,MF,Everton,21-255,2001,25.3,1198,56,269,682,264,46,1198,49,15,30.6,23,46.9,620,3120,1271,24,26,4,43,16,775,43,Matches,828657ff
377,Josh Onomah,eng ENG,MF,Fulham,26-001,1997,0.2,11,0,3,4,4,0,11,1,0,0.0,1,100.0,5,38,24,1,0,0,1,1,5,0,Matches,6612cd8c
378,Paul Onuachu,ng NGA,FW,Southampton,28-335,1994,3.7,122,5,13,56,56,16,122,12,8,66.7,3,25.0,64,248,75,1,1,0,19,8,97,19,Matches,c06d1086
379,Frank Onyeka,ng NGA,MF,Brentford,25-117,1998,6.8,262,21,73,123,67,16,262,11,2,18.2,6,54.5,131,472,202,3,5,1,9,7,140,14,Matches,2944f86f
380,Mislav Oršić,hr CRO,MF,Southampton,30-120,1992,0.1,4,0,2,0,2,0,4,0,0,,0,,2,10,7,0,0,0,0,0,1,0,Matches,ee950928
381,Dango Ouattara,bf BFA,MFFW,Bournemouth,21-076,2002,9.7,393,27,91,152,162,45,393,58,24,41.4,29,50.0,212,1478,745,28,17,13,29,8,237,61,Matches,2f9e4435
382,Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-256,1993,3.7,153,4,20,69,67,17,153,14,5,35.7,8,57.1,90,719,258,11,8,3,12,10,110,28,Matches,38c7feef
383,David Ozoh,,FW,Crystal Palace,17-332,2005,0.0,4,0,0,0,4,0,4,0,0,,0,,2,1,1,0,0,0,1,0,4,0,Matches,d00d45ab
384,João Palhinha,pt POR,MF,Fulham,27-293,1995,28.7,1405,70,334,877,210,29,1405,28,10,35.7,12,42.9,641,2253,757,5,9,2,32,22,745,17,Matches,a78ff07f
385,Cole Palmer,eng ENG,FWMF,Manchester City,20-357,2002,1.7,116,3,13,45,59,15,116,11,7,63.6,3,27.3,79,457,222,10,2,7,10,4,90,20,Matches,dc7f8a28
386,Emerson Palmieri,it ITA,DF,West Ham,28-268,1994,10.9,635,43,174,277,190,21,635,18,5,27.8,8,44.4,285,1720,1006,32,19,6,5,7,380,42,Matches,e0bc6fdc
387,Lucas Paquetá,br BRA,MF,West Ham,25-244,1997,19.4,1165,40,202,651,327,40,1164,41,21,51.2,12,29.3,598,2484,940,13,23,5,36,34,746,52,Matches,9b6f7fd5
388,Thomas Partey,gh GHA,MF,Arsenal,29-319,1993,25.1,2038,73,384,1274,398,24,2038,39,29,74.4,8,20.5,1245,6045,3272,25,33,1,31,17,1478,24,Matches,529f49ab
389,Nathan Patterson,sct SCO,DFMF,Everton,21-194,2001,11.4,690,52,250,248,199,17,690,21,10,47.6,10,47.6,285,1682,717,14,11,3,20,9,358,44,Matches,230f0471
390,Ben Pearson,eng ENG,MF,Bournemouth,28-114,1995,3.2,162,8,56,90,17,0,162,1,0,0.0,0,0.0,72,242,103,2,0,0,6,0,100,4,Matches,a6b461e7
391,Facundo Pellistri,uy URU,FWMF,Manchester Utd,21-129,2001,0.6,19,0,6,5,8,1,19,1,0,0.0,1,100.0,9,82,10,0,0,0,2,0,11,2,Matches,ac7e7b1c
392,Andreas Pereira,br BRA,MF,Fulham,27-117,1996,29.3,1290,14,103,596,606,66,1289,49,17,34.7,25,51.0,712,3925,1655,53,43,10,52,50,835,132,Matches,6639e500
393,Ricardo Pereira,pt POR,DFMF,Leicester City,29-204,1993,4.3,331,18,91,167,79,4,331,6,4,66.7,1,16.7,160,566,300,5,9,2,4,3,198,14,Matches,75a72a99
394,Ayoze Pérez,es ESP,MFFW,Leicester City,29-273,1993,4.2,244,3,38,104,108,17,244,21,6,28.6,12,57.1,132,696,356,17,6,6,12,11,155,43,Matches,819aa8e7
395,Ivan Perišić,hr CRO,DFMF,Tottenham,34-085,1989,22.4,1294,66,327,425,554,92,1294,36,16,44.4,17,47.2,578,3535,1995,84,28,34,31,13,701,176,Matches,6fe90922
396,Romain Perraud,fr FRA,DF,Southampton,25-218,1997,20.4,1153,54,360,406,395,39,1153,38,10,26.3,25,65.8,609,2999,1388,33,35,5,27,14,626,122,Matches,6dfd8f05
397,Máximo Perrone,ar ARG,MF,Manchester City,20-111,2003,0.2,22,0,4,12,6,2,22,0,0,,0,,8,20,7,0,0,0,0,0,19,1,Matches,53552942
398,Kalvin Phillips,eng ENG,MF,Manchester City,27-147,1995,1.2,156,8,25,112,20,3,156,0,0,,0,,89,374,104,0,0,0,1,0,123,0,Matches,4f565d77
399,Nathaniel Phillips,eng ENG,DF,Liverpool,26-038,1997,0.7,89,3,26,63,2,1,89,0,0,,0,,69,574,393,0,1,0,2,0,60,0,Matches,515ebe8d
400,Jordan Pickford,eng ENG,GK,Everton,29-052,1994,32.0,1228,910,1192,37,0,0,1228,0,0,,0,,652,4270,2806,0,0,0,1,1,485,0,Matches,4806ec67
401,Ethan Pinnock,jm JAM,DF,Brentford,29-334,1993,25.0,1265,275,778,383,108,45,1265,5,1,20.0,1,20.0,488,2007,1092,1,2,0,5,6,578,14,Matches,e541326e
402,Daniel Podence,pt POR,FWMF,Wolves,27-189,1995,18.1,838,10,113,309,429,65,838,55,22,40.0,31,56.4,497,2482,1149,40,25,18,45,29,581,138,Matches,7fcc71d8
403,Nick Pope,eng ENG,GK,Newcastle Utd,31-009,1992,31.2,860,725,853,7,0,0,860,0,0,,0,,445,2637,1561,0,0,0,2,0,301,0,Matches,4b40d9ca
404,Pedro Porro,es ESP,DF,Tottenham,23-227,1999,8.5,541,34,164,194,187,19,541,34,10,29.4,21,61.8,278,1579,962,26,11,3,12,6,318,67,Matches,27d0a506
405,Dennis Praet,be BEL,MFFW,Leicester City,28-349,1994,6.7,320,11,63,152,110,14,320,12,5,41.7,6,50.0,164,865,339,14,6,1,11,8,202,39,Matches,86695068
406,Isaac Price,nir NIR,MF,Everton,19-214,2003,0.4,17,1,5,10,2,0,17,1,1,100.0,0,0.0,10,40,12,1,0,0,1,0,13,0,Matches,b9403c99
407,Christian Pulisic,us USA,FWDF,Chelsea,24-222,1998,8.7,414,4,51,161,210,40,414,44,13,29.5,22,50.0,288,2080,1030,34,29,13,26,13,316,72,Matches,1bf33a9a
408,Aaron Ramsdale,eng ENG,GK,Arsenal,24-349,1998,33.0,1022,745,998,25,0,0,1022,1,1,100.0,0,0.0,616,3316,2052,0,1,0,0,0,540,0,Matches,466fb2c5
409,Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-335,2001,24.3,1085,50,216,539,350,65,1085,58,22,37.9,23,39.7,632,4217,2041,70,51,16,54,31,696,90,Matches,1544f145
410,Marcus Rashford,eng ENG,FW,Manchester Utd,25-179,1997,27.5,1033,19,91,379,583,157,1033,115,40,34.8,65,56.5,652,4102,1907,69,41,44,70,38,791,207,Matches,a1d5bd30
411,David Raya,es ESP,GK,Brentford,27-225,1995,33.0,1495,1091,1402,93,1,1,1495,1,1,100.0,0,0.0,891,5168,3337,0,0,0,0,0,682,0,Matches,98ea5115
412,Tim Ream,us USA,DF,Fulham,35-205,1987,32.0,2187,310,1120,1018,61,14,2187,15,10,66.7,3,20.0,1359,7667,5041,27,13,0,15,4,1444,2,Matches,28b40c9c
413,Nathan Redmond,eng ENG,DF,Southampton,29-053,1994,0.0,1,0,0,0,1,0,1,0,0,,0,,1,1,1,0,0,0,0,0,1,1,Matches,ab651565
414,Harrison Reed,eng ENG,MF,Fulham,28-091,1995,27.7,1360,50,246,726,398,38,1360,24,9,37.5,14,58.3,650,2908,994,26,20,2,38,21,818,85,Matches,803ae100
415,Bobby Reid,jm JAM,FWDF,Fulham,30-085,1993,26.0,1143,53,219,467,472,70,1143,51,18,35.3,24,47.1,629,2862,1318,46,32,11,50,29,727,180,Matches,0f7533cd
416,Declan Rice,eng ENG,MF,West Ham,24-104,1999,32.0,2159,112,594,1236,374,17,2158,55,29,52.7,21,38.2,1241,7677,4162,80,66,4,25,25,1400,32,Matches,1c7012b8
417,Chris Richards,us USA,DF,Crystal Palace,23-031,2000,5.0,274,47,131,119,24,7,274,0,0,,0,,120,550,269,4,1,0,3,2,149,3,Matches,0a3d6d2b
418,Richarlison,br BRA,MFFW,Tottenham,25-353,1997,9.3,384,11,71,146,173,51,384,28,9,32.1,15,53.6,229,1440,695,30,18,11,33,17,262,68,Matches,fa031b34
