,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-111,1999,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-016,1996,13.6,7,0.52,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-016,1996,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-010,1997,1.9,6,3.23,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-312,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-138,2001,19.5,14,0.72,7,0,1,3,2,1,2,0.10,1,0,0,1,0,0,Matches,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-261,1995,20.4,83,4.07,60,2,11,7,3,0,5,0.25,4,0,1,0,0,0,Matches,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-307,1997,16.7,34,2.04,27,0,1,2,1,3,5,0.30,2,0,0,1,0,2,Matches,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-133,2002,9.0,13,1.44,9,3,0,1,0,0,3,0.33,3,0,0,0,0,0,Matches,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-184,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-028,2000,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-321,1996,27.5,47,1.71,36,1,5,4,1,0,5,0.18,4,0,0,1,0,0,Matches,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-241,1996,9.0,25,2.76,20,0,1,1,1,2,1,0.11,1,0,0,0,0,0,Matches,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-084,1991,6.6,5,0.76,5,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-106,2000,28.7,18,0.63,14,1,0,3,0,0,1,0.03,0,0,0,1,0,0,Matches,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-129,1996,31.7,98,3.09,52,12,10,12,10,2,12,0.38,5,2,0,2,3,0,Matches,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-199,1997,2.2,6,2.69,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-230,2001,3.3,4,1.22,2,0,0,0,2,0,2,0.61,1,0,0,0,1,0,Matches,97220da2
65,David Brooks,wls WAL,DFFW,Bournemouth,25-294,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-173,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-076,2001,1.6,5,3.04,4,0,1,0,0,0,3,1.82,3,0,0,0,0,0,Matches,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-124,1996,23.8,79,3.32,64,2,5,3,4,1,10,0.42,7,0,1,2,0,0,Matches,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-222,2002,12.7,25,1.96,19,5,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches,bfc3b3a0
70,Facundo Buonanotte,ar ARG,MFFW,Brighton,18-126,2004,1.6,6,3.75,6,0,0,0,0,0,1,0.62,1,0,0,0,0,0,Matches,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,30-354,1992,29.5,27,0.92,24,1,0,2,0,0,1,0.03,1,0,0,0,0,0,Matches,b2d31e83
