,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
488,Crysencio Summerville,nl NED,FW,Leeds United,21-180,2001,14.2,42,2.95,25,1,2,3,9,2,5,0.35,3,0,0,0,1,1,Matches,df04eb4b
489,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-274,1998,3.5,4,1.16,3,0,0,1,0,0,1,0.29,1,0,0,0,0,0,Matches,b017b770
490,Japhet Tanganga,eng ENG,DF,Tottenham,24-028,1999,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e9971f2d
491,Matt Targett,eng ENG,DF,Newcastle Utd,27-222,1995,5.8,15,2.57,11,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e514ab62
492,James Tarkowski,eng ENG,DF,Everton,30-160,1992,33.0,21,0.64,17,0,0,3,0,1,2,0.06,1,0,0,1,0,0,Matches,15ea812b
493,Marcus Tavernier,eng ENG,MFFW,Bournemouth,24-037,1999,19.4,48,2.48,31,7,5,3,2,0,8,0.41,3,2,1,2,0,0,Matches,5c0da4a4
494,Tetê,br BRA,FW,Leicester City,23-072,2000,7.3,25,3.41,14,3,5,2,1,0,1,0.14,0,0,1,0,0,0,Matches,7120a04d
495,Kenny Tete,nl NED,DF,Fulham,27-201,1995,23.5,41,1.74,34,5,0,0,1,1,9,0.38,8,1,0,0,0,0,Matches,77d7c96f
496,Luke Thomas,eng ENG,DF,Leicester City,21-322,2001,8.5,14,1.64,10,2,0,1,0,1,2,0.23,1,0,0,1,0,0,Matches,fc027d02
497,Youri Tielemans,be BEL,MF,Leicester City,25-356,1997,21.4,65,3.04,53,3,1,6,1,1,3,0.14,2,0,0,1,0,0,Matches,56f7a928
498,Kieran Tierney,sct SCO,DF,Arsenal,25-327,1997,6.9,12,1.75,10,0,1,1,0,0,4,0.58,4,0,0,0,0,0,Matches,fce2302c
499,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-252,1995,9.8,19,1.93,14,3,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches,a105d46a
500,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-174,1998,7.4,10,1.36,8,2,0,0,0,0,2,0.27,2,0,0,0,0,0,Matches,b3af9be1
501,James Tomkins,eng ENG,DF,Crystal Palace,34-030,1989,3.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e7ca0439
502,Ivan Toney,eng ENG,FW,Brentford,27-043,1996,30.8,63,2.05,36,4,4,5,14,0,8,0.26,3,0,1,0,4,0,Matches,e09f279b
503,Adama Traoré,es ESP,FWMF,Wolves,27-093,1996,14.3,39,2.73,33,0,2,1,3,0,3,0.21,2,0,0,1,0,0,Matches,9a28eba4
504,Bertrand Traoré,bf BFA,FW,Aston Villa,27-234,1995,1.8,3,1.68,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c47541e0
505,Boubacar Traoré,ml MLI,MF,Wolves,21-251,2001,4.3,6,1.41,6,0,0,0,0,0,2,0.47,2,0,0,0,0,0,Matches,999ceb5f
506,Mark Travers,ie IRL,GK,Bournemouth,23-345,1999,10.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fe558029
507,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-221,1990,31.1,152,4.88,69,78,1,1,2,1,9,0.29,6,3,0,0,0,0,Matches,21512407
508,Leandro Trossard,be BEL,FW,Arsenal,28-145,1994,7.1,23,3.22,15,5,1,1,1,0,6,0.84,5,1,0,0,0,0,Matches,38ceb24a
509,Leandro Trossard,be BEL,FWMF,Brighton,28-145,1994,14.6,51,3.49,39,0,7,4,1,0,9,0.62,5,0,3,0,1,0,Matches,38ceb24a
510,Kostas Tsimikas,gr GRE,DF,Liverpool,26-351,1996,6.9,25,3.61,11,12,0,2,0,0,4,0.58,3,1,0,0,0,0,Matches,f315ca93
511,Deniz Undav,de GER,FWMF,Brighton,26-283,1996,3.0,12,3.94,7,0,0,5,0,0,1,0.33,0,0,0,1,0,0,Matches,dd549382
512,Yan Valery,tn TUN,DF,Southampton,24-065,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,531a4aa8
513,Virgil van Dijk,nl NED,DF,Liverpool,31-294,1991,26.5,18,0.68,13,0,0,4,0,1,2,0.08,1,0,0,1,0,0,Matches,e06683ca
514,Raphaël Varane,fr FRA,DF,Manchester Utd,30-003,1993,18.3,14,0.76,9,1,0,3,0,1,0,0.00,0,0,0,0,0,0,Matches,9f8e9423
515,Jamie Vardy,eng ENG,FW,Leicester City,36-107,1987,17.0,25,1.47,20,0,2,2,1,0,6,0.35,5,0,0,0,1,0,Matches,45963054
516,Joël Veltman,nl NED,DF,Brighton,31-103,1992,22.1,30,1.36,25,4,0,0,0,1,3,0.14,3,0,0,0,0,0,Matches,dad4b285
517,Fabio Vieira,pt POR,MF,Arsenal,22-333,2000,5.3,21,3.96,15,2,2,2,0,0,3,0.57,3,0,0,0,0,0,Matches,6412cc03
518,Matías Viña,uy URU,DFMF,Bournemouth,25-170,1997,2.1,5,2.39,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,08eb3b58
519,Rúben Vinagre,pt POR,DFMF,Everton,24-019,1999,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b937e490
520,Carlos Vinícius,br BRA,FW,Fulham,28-034,1995,8.6,10,1.16,9,0,1,0,0,0,4,0.46,3,0,1,0,0,0,Matches,8b529245
521,Theo Walcott,eng ENG,FWMF,Southampton,34-043,1989,9.1,21,2.32,17,0,0,3,1,0,1,0.11,1,0,0,0,0,0,Matches,1ecb65be
522,Kyle Walker,eng ENG,DF,Manchester City,32-335,1990,15.3,18,1.17,16,2,0,0,0,0,2,0.13,2,0,0,0,0,0,Matches,86dd77d1
523,Kyle Walker-Peters,eng ENG,DF,Southampton,26-015,1997,24.4,41,1.68,28,4,5,2,2,0,2,0.08,1,1,0,0,0,0,Matches,984a5a64
524,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-153,1997,11.0,21,1.91,20,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches,9e525177
525,Danny Ward,wls WAL,GK,Leicester City,29-310,1993,26.0,2,0.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d3ce0e89
526,Joel Ward,eng ENG,DF,Crystal Palace,33-181,1989,20.1,14,0.70,12,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,8a7ff278
527,James Ward-Prowse,eng ENG,MF,Southampton,28-178,1994,32.5,112,3.45,57,51,1,2,1,0,6,0.18,3,1,1,1,0,0,Matches,3515d404
528,Ollie Watkins,eng ENG,FW,Aston Villa,27-119,1995,29.8,66,2.21,44,0,5,11,6,0,13,0.44,6,0,2,5,0,0,Matches,aed3a70f
529,Adam Webster,eng ENG,DF,Brighton,28-114,1995,18.8,16,0.85,15,1,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,c40b6180
530,Wout Weghorst,nl NED,FWMF,Manchester Utd,30-264,1992,7.4,20,2.71,15,0,1,2,1,1,2,0.27,2,0,0,0,0,0,Matches,c4e87b8b
531,Danny Welbeck,eng ENG,FW,Brighton,32-153,1990,16.6,43,2.59,30,0,4,4,4,1,8,0.48,5,0,1,0,2,0,Matches,ce5143da
532,Ben White,eng ENG,DF,Arsenal,25-202,1997,28.9,59,2.04,51,7,0,0,1,0,13,0.45,12,1,0,0,0,0,Matches,35e413f1
533,Harvey White,eng ENG,MF,Tottenham,21-221,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4d90ce8c
534,Joseph Whitworth,eng ENG,GK,Crystal Palace,19-058,2004,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3f847d95
535,Neco Williams,wls WAL,DF,Nott'ham Forest,22-015,2001,20.9,39,1.86,23,4,4,2,3,3,2,0.10,1,0,0,1,0,0,Matches,dd323728
536,Willian,br BRA,FW,Fulham,34-262,1988,19.0,85,4.47,60,8,5,7,4,1,9,0.47,6,1,1,1,0,0,Matches,8b9ebd03
537,Joe Willock,eng ENG,MF,Newcastle Utd,23-251,1999,25.0,70,2.80,55,0,7,5,2,1,8,0.32,6,0,1,1,0,0,Matches,a3b03921
538,Callum Wilson,eng ENG,FW,Newcastle Utd,31-060,1992,16.7,30,1.80,19,0,3,4,4,0,6,0.36,4,0,0,2,0,0,Matches,c596fcb0
539,Harry Wilson,wls WAL,FW,Fulham,26-037,1997,7.3,18,2.48,7,2,1,3,5,0,4,0.55,1,0,0,1,2,0,Matches,c6dc9ecd
540,Yoane Wissa,cd COD,FW,Brentford,26-237,1996,14.7,29,1.98,23,0,1,1,3,1,5,0.34,3,0,0,0,1,1,Matches,2500cef9
541,Maximilian Wöber,at AUT,DF,Leeds United,25-083,1998,9.8,10,1.02,6,2,0,2,0,0,1,0.10,1,0,0,0,0,0,Matches,4b803b3c
542,Chris Wood,nz NZL,FW,Newcastle Utd,31-142,1991,5.0,5,1.01,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,4e9a0555
543,Chris Wood,nz NZL,FW,Nott'ham Forest,31-142,1991,4.1,6,1.45,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,4e9a0555
544,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-108,1997,20.4,14,0.69,12,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,a5212312
545,Granit Xhaka,ch SUI,MF,Arsenal,30-213,1992,29.1,100,3.44,87,3,4,2,3,1,14,0.48,14,0,0,0,0,0,Matches,e61b8aee
546,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-158,1997,16.6,22,1.33,16,0,0,4,2,0,3,0.18,1,0,0,2,0,0,Matches,c1fe2a48
547,Ashley Young,eng ENG,DF,Aston Villa,37-293,1985,19.8,38,1.92,33,2,2,1,0,0,2,0.10,2,0,0,0,0,0,Matches,be927d03
548,Illia Zabarnyi,ua UKR,DF,Bournemouth,20-239,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,88968486
549,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-169,1992,22.9,77,3.36,48,0,9,4,16,0,6,0.26,5,0,0,1,0,0,Matches,b2bc3b1f
550,Denis Zakaria,ch SUI,MF,Chelsea,26-159,1996,4.6,2,0.44,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,384d58d9
551,Jordan Zemura,zw ZIM,DF,Bournemouth,23-165,1999,16.2,35,2.17,25,0,6,2,2,0,2,0.12,2,0,0,0,0,0,Matches,e8271ad9
552,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-134,1996,22.1,54,2.45,47,1,0,4,1,1,4,0.18,3,0,0,1,0,0,Matches,51cf8561
553,Hakim Ziyech,ma MAR,FWMF,Chelsea,30-040,1993,6.7,25,3.71,20,3,1,0,1,0,1,0.15,1,0,0,0,0,0,Matches,6622454d
554,Kurt Zouma,fr FRA,DF,West Ham,28-183,1994,21.4,9,0.42,7,1,0,1,0,0,2,0.09,1,0,0,1,0,0,Matches,ce4246f5
555,Martin Ødegaard,no NOR,MF,Arsenal,24-132,1998,30.2,146,4.84,109,15,2,12,6,2,16,0.53,14,0,0,2,0,0,Matches,79300479
