,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
238,Reece James,eng ENG,DFMF,Chelsea,23-141,1999,13.8,891,1051,84.8,14345,4119,468,499,93.8,337,395,85.3,67,109,61.5,1,3.0,2.9,-2.0,21,60,24,6,90,Matches,1265a93a
239,Vitaly Janelt,de GER,MFDF,Brentford,24-353,1998,19.9,628,811,77.4,10886,3238,321,370,86.8,224,280,80.0,71,113,62.8,1,1.2,1.2,-0.2,13,54,16,6,67,Matches,8449d35e
240,Pontus Jansson,se SWE,DF,Brentford,32-074,1991,8.0,257,321,80.1,5004,1738,81,98,82.7,147,167,88.0,28,45,62.2,0,0.0,0.1,0.0,0,11,0,0,14,Matches,172e52d8
241,Mathias Jensen,dk DEN,MF,Brentford,27-117,1996,27.9,929,1349,68.9,18492,7270,401,482,83.2,337,471,71.5,165,322,51.2,5,4.2,4.2,+0.8,42,97,32,15,116,Matches,0f134faf
242,Gabriel Jesus,br BRA,FW,Arsenal,26-025,1997,18.1,449,562,79.9,6798,1397,239,283,84.5,162,183,88.5,25,39,64.1,5,3.0,1.9,+2.0,24,28,17,1,48,Matches,b66315ae
243,Raúl Jiménez,mx MEX,FW,Wolves,31-358,1991,8.3,122,172,70.9,1602,337,79,100,79.0,27,40,67.5,8,15,53.3,1,1.7,0.5,-0.7,8,8,7,1,13,Matches,b561db50
244,Joelinton,br BRA,MFFW,Newcastle Utd,26-257,1996,25.7,904,1101,82.1,13274,3470,508,582,87.3,301,341,88.3,50,63,79.4,1,2.1,1.8,-1.1,22,71,18,3,108,Matches,c17bfb65
245,Ben Johnson,eng ENG,DF,West Ham,23-094,2000,8.3,339,461,73.5,6020,2163,149,171,87.1,154,187,82.4,30,76,39.5,0,0.2,0.4,-0.2,3,24,8,4,36,Matches,9319781b
246,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-340,2001,29.7,268,467,57.4,3847,776,143,204,70.1,93,163,57.1,14,33,42.4,2,3.1,1.7,-1.1,26,10,17,5,30,Matches,0cd31129
247,Sam Johnstone,eng ENG,GK,Crystal Palace,30-034,1993,4.0,106,144,73.6,2673,1694,21,21,100.0,60,60,100.0,25,62,40.3,0,0.0,0.0,0.0,0,2,0,0,0,Matches,9e5708be
248,Curtis Jones,eng ENG,MF,Liverpool,22-088,2001,6.5,358,402,89.1,5257,1221,199,212,93.9,136,147,92.5,13,17,76.5,1,0.9,1.0,+0.1,8,28,10,1,42,Matches,4fb9c88f
249,Jorginho,it ITA,MF,Arsenal,31-129,1991,4.9,347,404,85.9,5851,1788,156,175,89.1,147,166,88.6,32,41,78.0,0,0.1,0.4,-0.1,3,47,9,0,62,Matches,45db685d
250,Jorginho,it ITA,MF,Chelsea,31-129,1991,14.2,749,884,84.7,11991,3508,379,421,90.0,301,348,86.5,51,74,68.9,0,0.4,0.4,-0.4,7,87,9,0,80,Matches,45db685d
251,Mateo Joseph,eng ENG,FWMF,Leeds United,19-191,2003,0.3,2,3,66.7,13,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,6ad43f9a
252,Diogo Jota,pt POR,FW,Liverpool,26-145,1996,9.9,229,308,74.4,2995,709,146,183,79.8,61,80,76.3,6,14,42.9,4,2.0,1.5,+2.0,14,24,6,1,25,Matches,178ae8f8
253,Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-071,2000,4.7,109,178,61.2,1850,775,55,72,76.4,35,56,62.5,13,33,39.4,0,1.1,1.1,-1.1,14,11,10,3,26,Matches,570bb4b9
254,James Justin,eng ENG,DF,Leicester City,25-064,1998,13.9,667,819,81.4,10404,3063,371,408,90.9,239,282,84.8,39,81,48.1,0,0.3,0.5,-0.3,7,48,12,7,47,Matches,fb614c44
255,Mathias Jørgensen,dk DEN,DF,Brentford,33-005,1990,10.1,328,411,79.8,5577,2441,147,164,89.6,163,200,81.5,14,39,35.9,0,0.1,0.1,-0.1,1,27,0,0,29,Matches,0db5d2c8
256,Sasa Kalajdzic,at AUT,FW,Wolves,25-295,1997,0.5,2,4,50.0,26,0,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,15f24fe7
257,Boubacar Kamara,fr FRA,MF,Aston Villa,23-156,1999,17.4,745,879,84.8,12296,3625,368,411,89.5,280,308,90.9,65,91,71.4,1,0.8,0.7,+0.2,7,58,6,0,80,Matches,cc77354e
258,Harry Kane,eng ENG,FW,Tottenham,29-274,1993,32.8,554,791,70.0,10525,3772,253,321,78.8,195,248,78.6,89,144,61.8,3,5.9,3.1,-2.9,52,86,42,6,158,Matches,21a66f6a
259,N'Golo Kanté,fr FRA,MF,Chelsea,32-030,1991,4.1,203,254,79.9,2904,723,127,140,90.7,63,78,80.8,7,17,41.2,0,1.4,0.7,-1.4,10,17,8,2,24,Matches,b9fbae28
260,Michael Keane,eng ENG,DF,Everton,30-107,1993,9.3,244,349,69.9,4751,2355,85,109,78.0,122,147,83.0,34,74,45.9,1,0.3,0.2,+0.7,1,27,0,0,22,Matches,c5b7c315
261,Neeskens Kebano,cd COD,FW,Fulham,31-049,1992,8.0,145,195,74.4,1919,481,87,98,88.8,41,54,75.9,4,10,40.0,3,1.4,0.8,+1.6,11,2,9,3,22,Matches,18b999f4
262,Thilo Kehrer,de GER,DF,West Ham,26-219,1996,21.3,808,976,82.8,14111,5051,347,398,87.2,395,443,89.2,56,101,55.4,2,0.6,0.7,+1.4,7,54,3,0,53,Matches,51dbeea9
263,Naby Keïta,gn GUI,MF,Liverpool,28-077,1995,3.3,129,168,76.8,1820,590,75,87,86.2,43,54,79.6,6,8,75.0,0,0.7,0.2,-0.7,8,15,2,0,15,Matches,f25c8e3a
264,Lloyd Kelly,eng ENG,DF,Bournemouth,24-204,1998,17.7,710,891,79.7,13420,5569,260,288,90.3,357,399,89.5,79,172,45.9,2,0.2,0.7,+1.8,5,62,6,2,36,Matches,f31def1e
265,Max Kilman,eng ENG,DF,Wolves,25-340,1997,33.0,1601,1923,83.3,31663,11439,529,574,92.2,885,957,92.5,168,345,48.7,0,0.1,0.6,-0.1,2,125,7,2,118,Matches,d0f72bf1
266,Jakub Kiwior,pl POL,DF,Arsenal,23-072,2000,0.2,6,7,85.7,100,47,3,3,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,dc3e663e
267,Mateusz Klich,pl POL,MFFW,Leeds United,32-319,1990,3.1,108,148,73.0,1411,387,61,69,88.4,28,34,82.4,5,17,29.4,0,0.2,0.2,-0.2,5,6,5,0,16,Matches,282679b4
268,Robin Koch,de GER,DF,Leeds United,26-285,1996,31.3,1095,1428,76.7,21344,9650,351,417,84.2,610,708,86.2,121,255,47.5,0,0.1,0.3,-0.1,2,105,5,0,95,Matches,ea6bc03a
269,Ibrahima Konaté,fr FRA,DF,Liverpool,23-338,1999,12.2,751,856,87.7,13331,5189,305,335,91.0,389,423,92.0,46,81,56.8,0,0.1,0.6,-0.1,1,40,2,0,42,Matches,5ed9b537
270,Ezri Konsa,eng ENG,DF,Aston Villa,25-187,1997,31.9,1475,1671,88.3,26914,9105,533,581,91.7,825,880,93.8,104,177,58.8,0,1.3,0.7,-1.3,8,57,4,2,46,Matches,0313a347
271,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-312,1991,19.9,1270,1465,86.7,22340,8984,561,595,94.3,593,650,91.2,96,175,54.9,1,0.4,0.4,+0.6,7,83,9,1,81,Matches,da974c7b
272,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-128,1989,8.8,167,224,74.6,2648,747,82,110,74.5,55,66,83.3,17,23,73.9,0,0.7,0.3,-0.7,6,11,2,0,18,Matches,8d3c902d
273,Mateo Kovačić,hr CRO,MF,Chelsea,28-357,1994,17.2,1048,1223,85.7,17179,5196,513,569,90.2,439,484,90.7,69,111,62.2,1,1.9,1.8,-0.9,21,148,21,1,146,Matches,79c0821a
274,Emil Krafth,se SWE,DF,Newcastle Utd,28-269,1994,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,77cf6852
275,Dejan Kulusevski,se SWE,MFFW,Tottenham,23-003,2000,20.2,517,665,77.7,7210,1790,313,366,85.5,160,200,80.0,22,45,48.9,6,4.0,4.5,+2.0,40,13,32,11,58,Matches,df3cda47
276,Layvin Kurzawa,fr FRA,DF,Fulham,30-236,1992,1.5,28,41,68.3,408,135,12,13,92.3,14,19,73.7,0,3,0.0,0,0.0,0.0,0.0,0,1,1,1,2,Matches,41e7ef1c
277,Adam Lallana,eng ENG,MFFW,Brighton,34-353,1988,8.0,262,317,82.6,3033,656,173,194,89.2,57,74,77.0,6,9,66.7,1,1.0,1.2,0.0,14,23,9,1,33,Matches,99813635
278,Tariq Lamptey,gh GHA,DF,Brighton,22-210,2000,5.0,239,302,79.1,3509,854,130,149,87.2,96,116,82.8,5,21,23.8,0,0.2,0.7,-0.2,4,14,8,5,26,Matches,f4e433d4
279,Manuel Lanzini,ar ARG,MFFW,West Ham,30-072,1993,1.7,83,100,83.0,1280,295,42,50,84.0,32,35,91.4,5,9,55.6,0,0.0,0.1,0.0,0,7,2,0,14,Matches,26f6dca8
280,Aymeric Laporte,es ESP,DF,Manchester City,28-336,1994,7.2,549,594,92.4,8922,2513,288,301,95.7,218,234,93.2,35,45,77.8,0,0.2,0.3,-0.2,4,57,6,0,59,Matches,119b9a8e
281,Juan Larios,es ESP,DF,Southampton,19-106,2004,1.7,63,82,76.8,881,326,40,46,87.0,21,27,77.8,2,4,50.0,0,0.0,0.0,0.0,0,5,0,0,4,Matches,cf7fb13a
282,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-168,1993,2.4,79,93,84.9,1445,580,29,34,85.3,40,44,90.9,7,11,63.6,0,0.0,0.0,0.0,0,4,0,0,3,Matches,450ab6fc
283,Roméo Lavia,be BEL,MF,Southampton,19-112,2004,20.1,695,805,86.3,12104,3263,307,341,90.0,318,346,91.9,57,76,75.0,0,0.5,0.5,-0.5,13,84,9,0,88,Matches,ecad9aa5
284,Dexter Lembikisa,jm JAM,DF,Wolves,19-175,2003,0.3,10,13,76.9,180,73,5,5,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,Matches,0bdda685
285,Mario Lemina,ga GAB,MF,Wolves,29-239,1993,10.4,408,468,87.2,7192,2070,180,198,90.9,181,198,91.4,40,52,76.9,1,0.3,0.4,+0.7,3,27,5,1,34,Matches,2b471f99
286,Clément Lenglet,fr FRA,DF,Tottenham,27-315,1995,18.5,1019,1174,86.8,18862,6872,391,404,96.8,511,565,90.4,101,169,59.8,2,0.6,0.8,+1.4,6,63,10,5,69,Matches,4f28a6ff
287,Bernd Leno,de GER,GK,Fulham,31-055,1992,30.0,882,1123,78.5,21836,13429,189,189,100.0,500,502,99.6,191,428,44.6,0,0.0,0.0,0.0,1,11,0,0,0,Matches,2628fd2b
288,Jefferson Lerma,co COL,MF,Bournemouth,28-185,1994,31.1,1111,1365,81.4,17358,6268,568,649,87.5,444,511,86.9,62,127,48.8,0,1.8,2.3,-1.8,15,110,21,2,126,Matches,9b5ce51a
289,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-093,1998,0.1,10,12,83.3,163,71,2,2,100.0,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,efb9215a
290,Rico Lewis,eng ENG,DFMF,Manchester City,18-158,2004,6.0,389,423,92.0,5624,846,239,250,95.6,130,138,94.2,11,15,73.3,0,0.8,1.0,-0.8,7,22,8,3,31,Matches,b57e066e
291,Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-065,2001,3.6,49,86,57.0,600,118,33,50,66.0,12,17,70.6,1,10,10.0,1,1.2,0.3,-0.2,5,2,3,1,6,Matches,41f08ac8
292,Victor Lindelöf,se SWE,DF,Manchester Utd,28-285,1994,8.2,494,531,93.0,8831,2861,174,185,94.1,280,291,96.2,31,44,70.5,0,0.0,0.1,0.0,0,24,1,0,22,Matches,f5deef4c
293,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-134,1992,10.3,236,297,79.5,3558,897,121,137,88.3,88,104,84.6,14,28,50.0,0,0.7,0.5,-0.7,11,27,7,1,33,Matches,810e3c74
294,Diego Llorente,es ESP,DF,Leeds United,29-255,1993,7.2,356,429,83.0,6969,2284,118,130,90.8,203,228,89.0,33,59,55.9,0,0.0,0.0,0.0,0,17,0,0,27,Matches,bba30585
295,Hugo Lloris,fr FRA,GK,Tottenham,36-123,1986,24.5,561,728,77.1,13442,8398,174,177,98.3,241,242,99.6,146,305,47.9,0,0.0,0.0,0.0,0,13,0,0,0,Matches,8f62b6ee
296,Renan Lodi,br BRA,DF,Nott'ham Forest,25-020,1998,20.2,531,780,68.1,9263,3025,250,297,84.2,220,305,72.1,50,134,37.3,0,0.6,0.7,-0.6,8,24,13,7,27,Matches,ed9f7cfe
297,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-095,1996,14.6,663,782,84.8,9815,2462,398,448,88.8,224,251,89.2,28,36,77.8,0,1.3,1.6,-1.3,12,64,13,1,73,Matches,e97fd090
298,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-180,1997,27.0,899,1114,80.7,14770,4111,449,515,87.2,344,397,86.6,76,124,61.3,4,3.3,2.5,+0.7,22,77,20,5,112,Matches,a2b105e0
299,Jamal Lowe,jm JAM,MFFW,Bournemouth,28-281,1994,0.1,2,4,50.0,18,3,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches,b2856bc0
300,Douglas Luiz,br BRA,MF,Aston Villa,24-354,1998,27.6,1300,1569,82.9,22746,5516,544,607,89.6,570,654,87.2,131,227,57.7,5,3.2,2.4,+1.8,38,101,17,3,127,Matches,6f7d826d
301,Saša Lukić,rs SRB,MF,Fulham,26-258,1996,2.6,133,148,89.9,2233,451,59,65,90.8,64,69,92.8,9,11,81.8,0,0.0,0.1,0.0,0,16,0,0,9,Matches,c6e8cf1f
302,Lyanco,br BRA,DF,Southampton,26-086,1997,8.8,278,392,70.9,5212,1852,107,119,89.9,132,174,75.9,29,81,35.8,0,0.1,0.1,-0.1,1,25,2,1,26,Matches,b5bf1770
303,Alexis Mac Allister,ar ARG,MF,Brighton,24-125,1998,26.0,1276,1480,86.2,20385,5017,667,735,90.7,491,537,91.4,84,117,71.8,1,2.8,3.3,-1.8,31,124,24,1,136,Matches,83d074ff
304,James Maddison,eng ENG,MFFW,Leicester City,26-156,1996,23.1,726,977,74.3,12377,3778,353,404,87.4,269,351,76.6,78,155,50.3,7,7.8,5.3,-0.8,59,101,26,3,133,Matches,ee38d9c5
305,Noni Madueke,eng ENG,FWDF,Chelsea,21-049,2002,2.5,83,104,79.8,1114,238,52,60,86.7,22,30,73.3,5,6,83.3,0,0.3,0.2,-0.3,7,6,3,0,11,Matches,bf34eebd
306,Harry Maguire,eng ENG,DF,Manchester Utd,30-054,1993,7.4,438,512,85.5,8817,2620,134,148,90.5,243,269,90.3,54,85,63.5,0,0.0,0.1,0.0,1,29,0,0,24,Matches,d8931174
307,Riyad Mahrez,dz ALG,FWMF,Manchester City,32-066,1991,14.6,671,811,82.7,11133,2026,351,392,89.5,247,287,86.1,62,101,61.4,5,4.9,3.4,+0.1,35,29,28,6,60,Matches,892d5bb1
308,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18-009,2005,0.1,7,8,87.5,83,31,5,6,83.3,2,2,100.0,0,0,,0,0.0,0.1,0.0,0,1,1,0,1,Matches,c6220452
309,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-242,1997,13.5,477,607,78.6,7987,2834,238,279,85.3,183,222,82.4,44,71,62.0,0,0.6,0.7,-0.6,8,49,10,4,50,Matches,e3a5814e
310,Tyrell Malacia,nl NED,DF,Manchester Utd,23-254,1999,12.0,513,603,85.1,7378,2236,328,353,92.9,136,158,86.1,27,49,55.1,0,0.3,0.5,-0.3,4,31,3,0,31,Matches,6b6c793c
311,Orel Mangala,be BEL,MF,Nott'ham Forest,25-041,1998,12.5,322,402,80.1,4889,1300,173,195,88.7,122,146,83.6,17,34,50.0,0,0.1,0.1,-0.1,2,29,2,0,32,Matches,a572e291
312,Javier Manquillo,es ESP,DF,Newcastle Utd,28-358,1994,0.4,23,27,85.2,381,114,13,14,92.9,8,10,80.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,4,Matches,758dd7f0
313,Sekou Mara,fr FRA,FWMF,Southampton,20-272,2002,5.8,66,101,65.3,858,162,42,55,76.4,14,17,82.4,4,7,57.1,2,0.8,0.3,+1.2,6,6,2,0,7,Matches,3544641e
314,Solly March,eng ENG,FWDF,Brighton,28-282,1994,28.9,907,1252,72.4,16282,3830,423,502,84.3,350,459,76.3,107,196,54.6,7,8.0,6.1,-1.0,61,62,47,14,130,Matches,bb5fbd2b
315,Emiliano Marcondes,dk DEN,MF,Bournemouth,28-050,1995,0.1,1,1,100.0,56,37,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,4d960fc3
316,Marquinhos,br BRA,MF,Arsenal,20-021,2003,0.0,2,3,66.7,34,5,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,59878425
317,Anthony Martial,fr FRA,FW,Manchester Utd,27-144,1995,7.1,168,201,83.6,2081,542,119,131,90.8,37,43,86.0,5,9,55.6,2,1.1,1.0,+0.9,7,10,7,0,20,Matches,8b788c01
318,Martinelli,br BRA,FW,Arsenal,21-314,2001,29.5,812,1079,75.3,12629,2589,438,516,84.9,283,343,82.5,61,121,50.4,5,8.7,6.9,-3.7,57,33,43,10,93,Matches,48a5a5d6
319,Emiliano Martínez,ar ARG,GK,Aston Villa,30-238,1992,29.9,876,1168,75.0,23268,15383,178,179,99.4,452,456,99.1,244,525,46.5,0,0.3,0.2,-0.3,2,17,0,0,0,Matches,7956236f
320,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-100,1998,23.5,1330,1528,87.0,23895,8188,532,568,93.7,683,728,93.8,96,193,49.7,0,0.3,1.0,-0.3,6,92,5,0,83,Matches,bac46a10
321,Pape Matar Sarr,sn SEN,MF,Tottenham,20-226,2002,1.9,118,130,90.8,1735,361,61,64,95.3,50,53,94.3,2,6,33.3,0,0.0,0.0,0.0,1,7,0,0,11,Matches,feb5d972
322,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-304,1997,8.2,98,142,69.0,1118,139,66,88,75.0,19,27,70.4,3,4,75.0,0,0.6,0.1,-0.6,5,4,0,0,6,Matches,50e6dc35
323,Joël Matip,cm CMR,DF,Liverpool,31-263,1991,11.1,705,816,86.4,12796,4255,276,315,87.6,363,394,92.1,57,84,67.9,0,0.3,0.4,-0.3,3,47,7,0,55,Matches,b217ef29
324,Neal Maupay,fr FRA,FW,Everton,26-257,1996,11.8,176,236,74.6,2310,188,115,140,82.1,46,59,78.0,6,8,75.0,0,0.6,0.2,-0.6,7,7,2,0,9,Matches,4bcf39f6
325,Kevin Mbabu,ch SUI,DFFW,Fulham,28-009,1995,1.6,68,94,72.3,1051,383,40,43,93.0,24,35,68.6,4,9,44.4,1,0.4,0.4,+0.6,2,4,5,3,8,Matches,493924a7
326,Bryan Mbeumo,cm CMR,FW,Brentford,23-264,1999,27.3,539,820,65.7,8614,2655,307,373,82.3,152,241,63.1,59,122,48.4,6,6.1,4.4,-0.1,43,28,42,13,76,Matches,6afaebf2
327,James McArthur,sct SCO,MF,Crystal Palace,35-203,1987,0.2,17,22,77.3,244,37,9,11,81.8,7,8,87.5,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,cee31595
328,Alex McCarthy,eng ENG,GK,Southampton,33-146,1989,1.0,35,46,76.1,835,533,4,4,100.0,21,21,100.0,9,20,45.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,36c2ca73
329,John McGinn,sct SCO,MFFW,Aston Villa,28-192,1994,24.9,684,877,78.0,12213,4073,320,369,86.7,258,313,82.4,87,141,61.7,3,2.6,3.1,+0.4,17,94,18,5,110,Matches,90f91999
330,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-167,1996,17.5,569,727,78.3,11331,4319,163,195,83.6,334,394,84.8,66,122,54.1,0,1.0,0.4,-1.0,8,35,3,1,35,Matches,4e5a4cbc
331,Weston McKennie,us USA,MF,Leeds United,24-243,1998,11.6,374,487,76.8,5984,2053,195,242,80.6,120,150,80.0,37,55,67.3,0,0.4,0.4,-0.4,9,37,14,2,64,Matches,01c3aff5
332,Dwight McNeil,eng ENG,FWMF,Everton,23-157,1999,22.8,521,779,66.9,8719,2635,275,319,86.2,164,224,73.2,62,152,40.8,2,4.2,3.9,-2.2,35,35,23,12,56,Matches,fc15fb84
333,Scott McTominay,sct SCO,MF,Manchester Utd,26-141,1996,12.5,340,412,82.5,5241,1472,186,215,86.5,116,135,85.9,25,34,73.5,0,0.5,1.0,-0.5,7,30,5,1,30,Matches,d93c2511
334,Ben Mee,eng ENG,DF,Brentford,33-219,1989,31.3,1124,1492,75.3,21565,8951,431,511,84.3,537,656,81.9,145,279,52.0,0,0.3,0.6,-0.3,5,68,7,1,71,Matches,8df7a2fb
335,Edouard Mendy,sn SEN,GK,Chelsea,31-058,1992,8.5,213,268,79.5,4987,3402,69,69,100.0,87,88,98.9,53,107,49.5,0,0.0,0.0,0.0,0,4,0,0,0,Matches,33887998
336,Nampalys Mendy,sn SEN,MF,Leicester City,30-309,1992,8.2,357,408,87.5,5500,1124,186,201,92.5,142,155,91.6,19,26,73.1,0,0.0,0.1,0.0,2,20,3,0,28,Matches,1598599e
337,Chris Mepham,wls WAL,DF,Bournemouth,25-174,1997,23.4,829,989,83.8,15531,5461,292,327,89.3,459,503,91.3,71,133,53.4,0,0.2,0.6,-0.2,4,41,2,0,40,Matches,fed96827
338,Illan Meslier,fr FRA,GK,Leeds United,23-057,2000,33.0,642,1008,63.7,16182,10548,139,143,97.2,344,349,98.6,155,507,30.6,0,0.0,0.0,0.0,0,12,1,0,0,Matches,6b625ac2
339,Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-017,2002,0.1,1,1,100.0,11,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,10ec4169
340,Luka Milivojević,rs SRB,MF,Crystal Palace,32-021,1991,5.7,206,256,80.5,3583,1133,89,100,89.0,89,106,84.0,20,36,55.6,0,0.2,0.2,-0.2,2,17,2,1,20,Matches,2ce2508a
341,James Milner,eng ENG,MFDF,Liverpool,37-114,1986,8.5,470,612,76.8,8342,2891,214,237,90.3,200,236,84.7,45,100,45.0,1,0.8,1.6,+0.2,11,49,13,4,58,Matches,2f90f6b8
342,Yerry Mina,co COL,DF,Everton,28-217,1994,2.6,156,174,89.7,2741,956,57,62,91.9,90,99,90.9,7,11,63.6,0,0.0,0.0,0.0,0,10,0,0,7,Matches,6d5701f2
343,Tyrone Mings,eng ENG,DF,Aston Villa,30-046,1993,30.0,1433,1679,85.3,27751,10505,458,505,90.7,818,877,93.3,142,263,54.0,2,1.4,0.9,+0.6,5,94,6,0,94,Matches,8397a50c
344,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-239,1999,27.1,943,1333,70.7,15096,7103,489,584,83.7,395,526,75.1,47,151,31.1,2,1.1,1.1,+0.9,13,73,18,7,85,Matches,5cbd1eb0
345,Kaoru Mitoma,jp JPN,FW,Brighton,25-343,1997,19.1,626,776,80.7,8651,1987,404,455,88.8,176,219,80.4,24,39,61.5,4,4.9,4.3,-0.9,29,39,24,0,74,Matches,74618572
346,Aleksandar Mitrović,rs SRB,FW,Fulham,28-224,1994,20.1,270,449,60.1,4300,877,154,231,66.7,78,122,63.9,30,48,62.5,1,2.1,1.1,-1.1,15,25,8,1,41,Matches,3925dbd6
347,Kieffer Moore,wls WAL,FW,Bournemouth,30-263,1992,13.0,200,335,59.7,2795,471,111,176,63.1,59,90,65.6,11,19,57.9,0,0.3,0.5,-0.3,4,16,6,0,22,Matches,01ce9e70
348,Andrew Moran,ie IRL,FW,Brighton,19-195,2003,0.1,1,2,50.0,13,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,c4720845
349,Álex Moreno,es ESP,DF,Aston Villa,29-324,1993,11.9,480,619,77.5,7009,2079,265,314,84.4,181,226,80.1,16,29,55.2,3,2.4,2.1,+0.6,20,14,18,10,22,Matches,16e9d0ea
350,Mason Mount,eng ENG,MFFW,Chelsea,24-108,1999,18.3,585,778,75.2,8688,2236,350,409,85.6,165,216,76.4,44,84,52.4,2,3.0,2.8,-1.0,30,55,27,5,98,Matches,9674002f
351,Lucas Moura,br BRA,MFDF,Tottenham,30-258,1992,1.4,46,67,68.7,617,202,30,40,75.0,15,20,75.0,0,1,0.0,0,0.3,0.3,-0.3,3,2,5,1,9,Matches,2b622f01
352,João Moutinho,pt POR,MF,Wolves,36-232,1986,19.8,850,1057,80.4,15648,4124,323,362,89.2,412,480,85.8,91,147,61.9,2,2.6,1.9,-0.6,36,105,23,4,132,Matches,f5a00fa4
353,Divin Mubama,eng ENG,FW,West Ham,18-185,2004,0.0,1,1,100.0,14,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,92868cb5
354,Mykhailo Mudryk,ua UKR,FWMF,Chelsea,22-113,2001,5.4,119,163,73.0,1494,427,78,99,78.8,26,35,74.3,4,13,30.8,2,0.4,0.5,+1.6,5,8,6,0,14,Matches,049a888d
355,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-063,1995,12.0,258,390,66.2,3975,1065,153,188,81.4,81,117,69.2,16,36,44.4,2,2.6,2.6,-0.6,17,18,26,4,56,Matches,de112b84
356,Enock Mwepu,zm ZAM,FWMF,Brighton,25-117,1998,2.4,61,78,78.2,819,126,42,50,84.0,15,17,88.2,3,5,60.0,1,0.5,0.2,+0.5,3,5,2,0,6,Matches,1d5cab82
357,Vitaliy Mykolenko,ua UKR,DF,Everton,23-334,1999,27.5,944,1256,75.2,14871,5740,502,578,86.9,354,459,77.1,63,141,44.7,0,1.2,0.9,-1.2,19,84,21,11,99,Matches,30d4a2e5
358,Keylor Navas,cr CRC,GK,Nott'ham Forest,36-134,1986,13.0,265,432,61.3,8792,7004,24,24,100.0,121,122,99.2,120,281,42.7,0,0.0,0.0,0.0,0,6,0,0,1,Matches,ecada4fc
359,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-133,1996,16.0,695,816,85.2,10636,2610,356,384,92.7,288,325,88.6,27,61,44.3,0,0.1,0.2,-0.1,3,45,0,0,46,Matches,6b47c5db
360,Reiss Nelson,eng ENG,FW,Arsenal,23-139,1999,1.4,75,89,84.3,986,140,45,49,91.8,22,26,84.6,3,5,60.0,2,0.6,0.4,+1.4,7,1,4,2,4,Matches,c5bdb6e3
361,Neto,br BRA,GK,Bournemouth,33-283,1989,22.5,417,679,61.4,13167,10698,86,88,97.7,140,146,95.9,184,437,42.1,0,0.0,0.0,0.0,0,12,1,0,0,Matches,a9dc785c
362,Pedro Neto,pt POR,FWMF,Wolves,23-050,2000,8.4,238,318,74.8,3842,863,138,153,90.2,69,99,69.7,24,46,52.2,0,1.4,1.3,-1.4,15,11,8,4,20,Matches,7ba2eaa9
