,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-133,2002,9.0,297,448,66.3,4730,2097,160,192,83.3,115,178,64.6,19,52,36.5,1,0.8,0.6,+0.2,6,23,4,3,26,Matches,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-184,2003,0.1,2,3,66.7,38,7,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-028,2000,0.2,15,21,71.4,253,126,6,7,85.7,8,10,80.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-321,1996,27.5,716,931,76.9,10431,2831,404,478,84.5,229,284,80.6,39,82,47.6,1,3.0,2.1,-2.0,22,43,8,3,73,Matches,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-241,1996,9.0,514,571,90.0,7843,1774,266,281,94.7,208,225,92.4,25,33,75.8,0,0.5,0.3,-0.5,8,40,4,1,45,Matches,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-084,1991,6.6,181,240,75.4,3444,1571,59,72,81.9,100,118,84.7,18,42,42.9,1,0.2,0.3,+0.8,1,7,0,0,10,Matches,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-106,2000,28.7,1244,1451,85.7,25249,9240,388,440,88.2,691,758,91.2,151,222,68.0,0,1.0,1.0,-1.0,8,50,2,0,72,Matches,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-129,1996,31.7,483,779,62.0,7708,2279,274,339,80.8,147,198,74.2,48,149,32.2,4,6.3,5.1,-2.3,42,34,22,8,63,Matches,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-199,1997,2.2,85,122,69.7,1275,472,52,67,77.6,21,31,67.7,8,15,53.3,0,0.2,0.2,-0.2,4,4,5,4,3,Matches,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-230,2001,3.3,33,53,62.3,466,54,21,33,63.6,9,15,60.0,2,3,66.7,0,0.1,0.1,-0.1,1,1,1,0,4,Matches,97220da2
65,David Brooks,wls WAL,DFFW,Bournemouth,25-294,1997,0.3,2,2,100.0,29,6,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-173,2000,0.3,17,21,81.0,283,57,7,8,87.5,10,11,90.9,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-076,2001,1.6,47,60,78.3,638,92,26,32,81.3,14,16,87.5,2,4,50.0,1,0.2,0.1,+0.8,2,3,2,0,5,Matches,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-124,1996,23.8,723,925,78.2,11198,2881,396,466,85.0,236,297,79.5,59,82,72.0,2,5.2,3.9,-3.2,37,78,36,0,126,Matches,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-222,2002,12.7,482,600,80.3,6687,1995,307,334,91.9,144,183,78.7,17,44,38.6,1,0.9,0.8,+0.1,13,23,10,6,34,Matches,bfc3b3a0
70,Facundo Buonanotte,ar ARG,MFFW,Brighton,18-126,2004,1.6,43,56,76.8,524,53,33,36,91.7,6,10,60.0,2,4,50.0,1,0.5,0.1,+0.5,5,2,1,0,2,Matches,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,30-354,1992,29.5,1121,1423,78.8,18337,7136,554,628,88.2,470,575,81.7,75,153,49.0,0,1.2,1.2,-1.2,13,76,8,1,89,Matches,b2d31e83
72,Cafú,pt POR,MF,Nott'ham Forest,30-061,1993,0.1,2,2,100.0,45,41,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,85322440
73,Moisés Caicedo,ec ECU,MF,Brighton,21-177,2001,28.1,1597,1801,88.7,24306,6414,891,964,92.4,542,598,90.6,108,137,78.8,1,2.3,2.1,-1.3,34,143,30,5,172,Matches,16264a81
74,Tom Cairney,sct SCO,MF,Fulham,32-098,1991,6.4,429,502,85.5,6862,1618,219,238,92.0,148,172,86.0,40,58,69.0,0,1.2,1.2,-1.2,10,52,12,5,66,Matches,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-223,1996,10.5,477,566,84.3,9352,3498,154,173,89.0,266,287,92.7,53,93,57.0,0,0.0,0.1,0.0,1,26,0,0,33,Matches,94f8d10c
